sector,property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 108,flat,experion the heartsong,0.93,6079.0,1529.86,2.0,3.0,3,10.0,Relatively New,1161.0,0,0,0,0,0,0,81,764.93
sohna road,flat,eldeco accolade,1.1,7549.0,1457.15,3.0,2.0,3,13.0,Relatively New,1319.0,0,0,0,0,0,0,56,485.7166666666667
sector 12,house,mian wali,1.7,9444.0,1800.1,1.0,1.0,1.0,1.0,Old Property,1800.0,0,0,1,0,0,0,7,1800.1
sector 102,flat,adani m2k oyster grande,1.95,7561.0,2579.02,3.0,4.0,3,9.0,Relatively New,2334.0,0,0,1,0,1,2,83,859.6733333333333
sector 70a,house,bptp visionnaire,5.4,20690.0,2610.0,4.0,5.0,3+,3.0,Relatively New,2610.0,0,1,1,1,1,2,136,652.5
sector 113,flat,m3m capital,2.9,12619.0,2298.12,4.0,4.0,3+,11.0,Under Construction,2553.0,0,0,1,0,1,0,49,574.53
sector 95,flat,rof ananda,0.55,8527.0,645.01,3.0,2.0,2,14.0,New Property,811.0,0,0,0,0,1,2,81,215.00333333333333
sector 83,flat,emaar palm gardens,1.72,9052.0,1900.13,3.0,3.0,3,4.0,Relatively New,1600.0,0,0,1,0,0,2,165,633.3766666666667
sector 49,flat,orchid petals,1.95,9972.0,1955.48,3.0,3.0,3,2.0,Old Property,1633.0,0,0,0,0,0,2,90,651.8266666666667
sector 108,flat,sobha city,2.9,14478.0,2003.04,3.0,4.0,2,11.0,Relatively New,2003.04,0,0,0,0,0,0,108,667.68
sector 12,house,bhawani enclave,0.42,8235.0,510.0,3.0,3.0,0,2.0,New Property,567.0,0,1,0,0,0,0,0,170.0
sector 86,flat,microtek greenburg,1.25,8445.0,1480.17,2.0,2.0,3,13.0,Moderately Old,1339.0,0,0,0,0,1,0,6,740.085
sector 111,house,puri diplomatic greens,9.0,11250.0,8000.0,5.0,5.0,3+,3.0,Relatively New,8000.0,0,0,1,0,0,0,112,1600.0
sector 54,house,dlf the grove,5.7,23457.0,2430.0,4.0,4.0,0,1.0,Moderately Old,2430.0,0,0,0,0,0,0,46,607.5
sector 103,flat,ansal housing highland park,0.8,5878.0,1361.01,2.0,2.0,3,3.0,New Property,1089.0,0,1,0,0,0,0,174,680.505
sector 92,flat,sare crescent parc,0.49,4909.0,998.17,2.0,2.0,2,2.0,Relatively New,1109.0,0,0,0,0,0,0,96,499.085
sushant lok,house,independent,3.49,20197.0,1728.0,4.0,4.0,2.0,3.0,Moderately Old,1728.0,0,1,1,0,1,2,49,432.0
sector 93,flat,signature global orchard avenue,0.85,14237.0,597.04,2.0,2.0,0,10.0,Relatively New,597.0,0,0,0,0,0,0,0,298.52
sector 45,flat,antriksh green,2.25,7826.0,2875.03,4.0,4.0,2,9.0,Old Property,3194.0,0,0,1,0,0,1,23,718.7575
sector 95,flat,rof ananda,0.37,5744.0,644.15,3.0,2.0,1,6.0,Relatively New,716.0,0,1,0,0,0,2,72,214.71666666666667
c block,house,independent,3.35,26973.0,1242.0,1.0,1.0,0,1.0,Old Property,1242.0,0,0,0,0,0,0,9,1242.0
sector 67a,flat,ireo the corridors,1.62,9380.0,1727.08,3.0,3.0,2,4.0,New Property,1346.0,0,0,0,1,0,2,142,575.6933333333333
sector 102,flat,emaar gurgaon greens,1.45,8787.0,1650.17,3.0,3.0,3,8.0,Relatively New,1300.0,0,0,1,0,0,0,49,550.0566666666667
sector 66,flat,ireo uptown,1.32,11442.0,1153.64,2.0,2.0,2,6.0,Relatively New,1048.0,0,0,0,0,0,0,45,576.82
sector 72,flat,tata primanti,3.9,13425.0,2905.03,4.0,4.0,3+,39.0,Relatively New,2509.0,1,0,1,0,0,0,49,726.2575
sector 111,flat,kashish manor one,1.65,7097.0,2324.93,3.0,4.0,3+,14.0,Under Construction,2104.0,1,0,1,0,0,0,8,774.9766666666666
sector 45,house,independent,17.0,37777.0,4500.1,5.0,8.0,3+,3.0,Relatively New,4500.0,0,1,1,1,1,1,152,900.0200000000001
sector 33,flat,central park flower valley,1.79,11251.0,1590.97,3.0,3.0,3,3.0,Old Property,1619.0,0,0,0,0,0,0,71,530.3233333333334
sector 107,flat,signature global solera,0.37,6751.0,548.07,2.0,2.0,1,10.0,Relatively New,496.0,0,0,0,0,0,0,73,274.035
sector 9a,flat,the new crpf apartments,0.75,5813.0,1290.21,3.0,3.0,3,6.0,Old Property,1433.0,0,1,0,0,0,0,31,430.07
sector 33,flat,ashiana anmol,1.1,8627.0,1275.07,2.0,2.0,2,4.0,Under Construction,1275.0,0,0,0,0,0,0,0,637.535
sector 69,flat,tulip white,0.9,6000.0,1500.0,3.0,2.0,3+,1.0,Relatively New,1326.0,0,0,0,0,0,2,149,500.0
sohna road,flat,trisara our homes 3,0.35,5564.0,629.04,2.0,2.0,1,2.0,New Property,699.0,0,0,0,0,0,0,74,314.52
surat nagar,house,surat nagar phase 2,0.36,7843.0,459.0,2.0,2.0,1.0,1.0,Moderately Old,459.0,0,1,0,0,0,0,0,229.5
sector 56,flat,kiran residency,1.55,7750.0,2000.0,3.0,3.0,3+,5.0,Old Property,1800.0,1,1,1,0,0,0,166,666.6666666666666
sector 61,flat,smart world orchard,1.85,14800.0,1250.0,2.0,2.0,2,3.0,New Property,1389.0,0,0,0,0,0,0,44,625.0
sector 56,flat,smriti apartment,0.52,10666.0,487.53,1.0,1.0,1,1.0,Old Property,475.0,0,0,0,0,0,0,34,487.53
sector 82,flat,vatika the seven lamps,0.78,5932.0,1314.9,2.0,2.0,2,0.0,Relatively New,1175.0,0,0,0,0,0,2,103,657.45
sector 57,flat,bptp freedom park life,5.5,8982.0,6123.36,5.0,6.0,3+,19.0,Moderately Old,5010.0,0,1,1,0,0,2,153,1224.672
sector 62,flat,emaar digihomes,3.95,15262.0,2588.13,3.0,3.0,3,33.0,New Property,2876.0,0,0,1,0,0,2,49,862.71
sector 10a,flat,maxworth city residences,0.9,7083.0,1270.65,2.0,2.0,3,9.0,New Property,1086.0,1,0,0,0,0,0,52,635.325
sector 71,flat,chd avenue,0.82,7083.0,1157.7,2.0,2.0,2,6.0,Moderately Old,1086.0,0,0,0,0,0,0,0,578.85
sector 79,flat,supertech araville,0.83,5424.0,1530.24,2.0,2.0,3,5.0,New Property,1700.0,0,0,0,0,1,1,49,765.12
sector 60,flat,ireo skyon,2.05,15185.0,1350.02,2.0,3.0,2,2.0,Relatively New,1520.0,0,0,0,1,0,2,174,675.01
sohna road,flat,eldeco accolade,0.73,5752.0,1269.12,2.0,2.0,3,9.0,Relatively New,1148.0,0,1,0,0,0,0,103,634.56
sector 71,flat,signature andour heights,0.39,9846.0,396.1,1.0,1.0,2,1.0,New Property,294.0,0,0,0,0,0,0,0,396.1
sector 3,flat,godrej habitat,1.35,12784.0,1056.01,2.0,2.0,0,4.0,Relatively New,1056.0,0,0,0,0,0,0,60,528.005
sector 49,house,uppal southend,6.75,32328.0,2088.0,4.0,4.0,3.0,3.0,Relatively New,2088.0,0,0,1,0,0,2,26,522.0
sector 7,house,independent,2.43,14890.0,1632.0,4.0,4.0,2.0,3.0,Old Property,345.0,0,1,0,1,1,0,38,408.0
dlf phase,house,dlf city plots phase 3,1.44,2963.0,4860.0,4.0,2.0,2.0,1.0,Old Property,540.0,0,0,0,0,0,0,8,1215.0
sector 77,flat,umang winter hills,0.99,7857.0,1260.02,2.0,2.0,2,1.0,Relatively New,1126.0,0,0,0,0,0,0,97,630.01
sohna road,flat,ashiana anmol,0.99,8215.0,1205.11,2.0,2.0,2,6.0,Under Construction,1045.0,0,0,0,0,0,0,49,602.555
sector 11,flat,maruti kunj,0.8,5161.0,1550.09,3.0,2.0,0,0.0,Old Property,1403.0,0,0,0,0,0,0,8,516.6966666666666
sector 33,flat,godrej nature plus serenity,1.45,8677.0,1671.08,3.0,2.0,3,3.0,Under Construction,1512.0,0,0,0,0,0,0,49,557.0266666666666
sector 39,flat,milan cghs 9,2.0,8333.0,2400.1,3.0,3.0,3+,0.0,Old Property,2400.0,0,0,0,0,0,0,0,800.0333333333333
sector 85,flat,ss the leaf,1.14,6433.0,1772.11,2.0,2.0,3,16.0,Relatively New,1604.0,0,0,0,0,0,0,44,886.055
sector 77,flat,umang winter hills,1.1,5296.0,2077.04,3.0,4.0,3+,9.0,Relatively New,1829.0,0,0,1,0,0,0,49,692.3466666666667
dlf phase,flat,ambience lagoon,5.8,12500.0,4640.0,3.0,4.0,3+,9.0,Old Property,3700.0,1,1,1,0,1,1,68,1546.6666666666667
sector 56,flat,kendriya vihar,0.47,7768.0,605.05,1.0,1.0,1,3.0,Old Property,672.0,0,0,0,0,0,2,52,605.05
dlf phase,house,independent,12.5,38580.0,3240.0,5.0,5.0,3+,2.0,Old Property,3240.0,0,1,1,1,1,2,79,648.0
sector 108,flat,sobha city,3.25,15685.0,2072.04,3.0,3.0,3,12.0,Relatively New,2072.04,0,0,0,0,0,0,99,690.68
sector 85,flat,ss the leaf,2.1,8720.0,2408.26,3.0,4.0,3+,6.0,Relatively New,2026.0,0,0,1,0,0,0,156,802.7533333333334
sector 86,flat,dlf new town heights,1.3,6735.0,1930.22,3.0,3.0,3,15.0,Relatively New,1715.0,0,1,1,0,0,2,49,643.4066666666666
sector 81,flat,dlf the ultima,2.28,10841.0,2103.13,3.0,3.0,3+,14.0,Relatively New,1750.0,0,0,1,0,0,1,49,701.0433333333334
sector 54,flat,sunischit apartments,1.75,7954.0,2200.15,3.0,3.0,3+,6.0,Moderately Old,2100.0,0,0,1,0,0,2,126,733.3833333333333
sector 37c,flat,apex builders,0.42,5600.0,750.0,2.0,2.0,2,4.0,Relatively New,833.0,0,0,0,0,0,0,42,375.0
sector 109,house,international city by sobha phase 2,11.25,25000.0,4500.0,7.0,5.0,3+,4.0,Relatively New,4500.0,0,1,1,0,1,0,42,642.8571428571429
sector 70a,flat,capital residences 360,1.1,7586.0,1450.04,2.0,2.0,3+,8.0,New Property,1312.0,0,0,0,0,0,0,60,725.02
sohna road,flat,hcbs sports ville,0.22,4603.0,477.95,1.0,1.0,1,9.0,Relatively New,477.0,0,0,0,0,0,2,44,477.95
sector 77,flat,emaar mgf palm hills,1.25,8620.0,1450.12,3.0,4.0,3,3.0,Relatively New,1310.0,0,0,1,0,1,0,49,483.3733333333333
sector 49,house,eros rosewood villas,2.5,13513.0,1850.1,3.0,3.0,2.0,2.0,Moderately Old,1900.0,0,1,0,1,0,0,59,616.6999999999999
sector 61,flat,smart world orchard,1.6,13913.0,1150.0,2.0,2.0,2,3.0,New Property,1278.0,0,0,0,0,1,0,122,575.0
sector 45,house,independent,16.0,35000.0,4571.4,6.0,7.0,3+,3.0,Relatively New,4500.0,0,1,1,1,1,2,105,761.9
sector 112,flat,experion windchants,4.75,12622.0,3763.27,3.0,5.0,3+,4.0,Relatively New,3405.0,0,0,1,0,0,2,42,1254.4233333333334
sector 93,flat,spaze privvy the address,1.45,8033.0,1805.05,3.0,4.0,2,12.0,Relatively New,1350.0,0,0,0,0,0,2,96,601.6833333333333
sector 113,flat,la vida by tata housing,1.45,11363.0,1276.07,2.0,2.0,2,6.0,Relatively New,1080.0,0,0,0,0,0,0,80,638.035
sector 83,flat,vatika gurgaon,1.08,6224.0,1735.22,3.0,3.0,2,11.0,Relatively New,1570.0,1,0,0,0,0,0,19,578.4066666666666
sushant lok,house,ansals florence villa,6.0,22222.0,2700.0,4.0,5.0,2.0,2.0,Old Property,2700.0,0,1,1,0,0,2,20,675.0
sector 60,flat,ireo skyon,2.12,15531.0,1365.01,2.0,2.0,2,2.0,Relatively New,1350.0,0,1,0,0,0,2,174,682.505
sector 102,flat,shapoorji pallonji joyville gurugram,1.95,17285.0,1128.15,3.0,3.0,3,12.0,New Property,1465.0,0,0,0,1,0,0,72,376.05
sector 86,flat,ansal heights 86,0.82,6029.0,1360.09,2.0,2.0,1,12.0,New Property,1300.0,0,0,0,0,0,0,49,680.045
sector 3,flat,apna enclave,0.58,6105.0,950.04,2.0,2.0,2,2.0,Old Property,900.0,0,0,0,0,0,0,66,475.02
dlf phase,house,u block dlf phase 3 road no 21,1.6,3292.0,4860.0,7.0,5.0,3+,4.0,Old Property,540.0,0,0,0,0,0,0,0,694.2857142857143
sector 15,flat,park view apartments,1.6,11034.0,1450.06,3.0,3.0,3+,2.0,Moderately Old,1611.0,0,1,0,0,0,0,56,483.3533333333333
sector 81,flat,vipul lavanya,0.6,6666.0,900.09,2.0,2.0,1,0.0,Under Construction,814.0,0,0,0,0,0,0,0,450.045
sector 46,house,independent,5.5,23061.0,2385.0,8.0,8.0,3+,3.0,Moderately Old,2385.0,1,0,0,0,1,2,32,298.125
sector 6,flat,ss residency,0.48,5333.0,900.06,3.0,2.0,2,2.0,Moderately Old,111.0,0,0,0,0,0,0,54,300.02
sector 92,flat,bestech park view sanskruti,2.0,8333.0,2400.1,4.0,5.0,3+,12.0,Relatively New,2453.0,0,0,1,0,0,2,60,600.025
sector 69,flat,tulip violet,1.36,8841.0,1538.29,3.0,3.0,1,12.0,Relatively New,1392.0,0,1,0,0,0,0,86,512.7633333333333
sector 83,flat,sapphire eighty three,0.4,8547.0,468.0,1.0,1.0,1,6.0,Relatively New,520.0,0,0,0,0,0,1,52,468.0
sector 90,flat,dlf regal gardens,1.29,9020.0,1430.16,3.0,3.0,3,7.0,Relatively New,1540.0,0,0,0,0,1,0,174,476.72
sector 33,house,unitech uniworld resorts,8.0,11428.0,7000.4,4.0,4.0,3+,2.0,Old Property,7000.0,0,1,1,1,1,0,77,1750.1
sector 106,flat,paras dews,0.97,8818.0,1100.02,2.0,2.0,3,6.0,New Property,1200.0,0,1,0,0,0,2,174,550.01
sector 82,flat,mapsko casa bella,1.25,6377.0,1960.17,3.0,4.0,3+,8.0,Under Construction,1774.0,0,0,0,0,0,0,54,653.39
sector 48,flat,vipul world,1.38,9482.0,1455.39,3.0,3.0,1,2.0,Relatively New,1611.0,0,0,0,0,0,0,60,485.13000000000005
sector 90,flat,dlf regal gardens,1.26,7403.0,1702.01,3.0,3.0,3,6.0,Relatively New,1603.0,1,0,0,0,0,2,28,567.3366666666667
sector 65,flat,emaar mgf emerald estate,1.7,21013.0,809.02,3.0,3.0,3,7.0,Relatively New,1081.0,0,0,0,0,1,2,116,269.67333333333335
sohna road,flat,ashiana mulberry,0.74,6016.0,1230.05,2.0,2.0,3+,12.0,Relatively New,1367.0,0,0,0,0,0,0,71,615.025
sector 38,flat,navjyoti apartment,2.1,11938.0,1759.09,4.0,4.0,3+,10.0,Old Property,1954.0,0,0,0,0,0,1,22,439.7725
sector 109,house,international city by sobha phase 2,9.5,26389.0,3600.0,7.0,6.0,3.0,3.0,Relatively New,3600.0,0,1,1,0,1,0,138,514.2857142857143
sector 82,flat,vatika the seven lamps,1.28,6819.0,1877.11,3.0,3.0,3,3.0,Relatively New,1800.0,0,0,0,0,1,2,165,625.7033333333333
sector 103,flat,indiabulls centrum park,1.65,8250.0,2000.0,3.0,3.0,3+,15.0,Relatively New,1683.0,0,0,0,0,1,0,38,666.6666666666666
sector 69,flat,tulip white,0.9,6787.0,1326.06,3.0,2.0,3,6.0,Relatively New,1473.0,0,1,0,0,0,0,121,442.02
sector 37d,flat,ramprastha the edge towers,0.8,5797.0,1380.02,2.0,2.0,3,2.0,Relatively New,1300.0,0,0,0,0,0,0,78,690.01
sector 92,flat,sare homes,0.8,4694.0,1704.3,4.0,4.0,3,1.0,Moderately Old,1893.0,0,0,0,0,0,0,77,426.075
sector 112,flat,experion windchants,3.0,11538.0,2600.1,3.0,3.0,2,2.0,Relatively New,2600.0,1,0,0,0,0,2,49,866.6999999999999
sector 89,flat,m3m soulitude,1.25,8784.0,1423.04,3.0,3.0,3,3.0,New Property,1288.0,1,0,0,0,1,0,61,474.34666666666664
sector 63,flat,adani brahma samsara vilasa,4.49,14254.0,3149.99,4.0,4.0,3+,3.0,New Property,3149.99,0,0,0,0,0,2,96,787.4975
sector 83,flat,emaar palm gardens,1.3,11868.0,1095.38,3.0,3.0,3,16.0,Relatively New,1387.0,0,0,1,0,0,2,174,365.1266666666667
sector 67,flat,m3m merlin,2.98,14557.0,2047.13,3.0,3.0,3,0.0,Relatively New,2047.13,1,0,0,0,0,2,49,682.3766666666667
sector 56,flat,park view apartment,1.74,7565.0,2300.07,3.0,3.0,3+,2.0,Old Property,2400.0,0,1,1,0,0,2,104,766.69
sector 65,flat,emaar mgf emerald floors,2.6,15758.0,1649.96,3.0,3.0,3+,3.0,Relatively New,1649.96,0,0,0,0,0,0,0,549.9866666666667
sector 7,house,independent,1.75,11111.0,1575.0,4.0,2.0,2.0,2.0,Old Property,1575.0,1,0,0,0,0,0,31,393.75
sector 67,flat,m3m merlin,3.0,14655.0,2047.08,3.0,3.0,3+,4.0,Relatively New,2047.08,0,0,0,1,0,2,174,682.36
sector 82a,flat,vatika sovereign next,3.85,7500.0,5133.33,5.0,6.0,3+,6.0,New Property,5711.0,0,1,1,0,0,0,148,1026.666
sushant lok,house,independent,3.5,21605.0,1620.0,4.0,4.0,3+,3.0,Old Property,1620.0,0,0,0,1,0,2,67,405.0
sector 1a,flat,deepak minda,1.25,4715.0,2651.11,4.0,4.0,3+,6.0,Moderately Old,2946.0,0,0,0,0,0,2,44,662.7775
valley view,flat,valley view estate,1.5,7489.0,2002.94,4.0,4.0,3+,10.0,Moderately Old,1850.0,0,0,0,0,0,0,58,500.735
sector 84,flat,alpha corp gurgaonone,2.2,7586.0,2900.08,4.0,4.0,3,10.0,Relatively New,3222.0,0,0,1,0,0,0,21,725.02
sohna road,flat,gls arawali homes,0.3,5291.0,567.0,2.0,2.0,0,10.0,Relatively New,567.0,0,0,0,0,0,0,0,283.5
sector 73,house,dlf alameda,17.0,35109.0,4842.1,5.0,8.0,3.0,3.0,Relatively New,9000.0,0,1,1,1,1,1,87,968.42
sohna road,flat,signature global park,0.78,6446.0,1210.05,3.0,3.0,3,3.0,Relatively New,1344.0,0,1,0,0,0,0,150,403.35
sector 37d,flat,bptp terra,1.45,8006.0,1811.14,3.0,3.0,3,8.0,Relatively New,1711.0,0,0,0,0,0,0,149,603.7133333333334
dlf phase,house,dlf city plots,17.3,38734.0,4466.4,6.0,7.0,3+,3.0,New Property,4518.0,0,1,1,1,1,2,124,744.4
sector 53,flat,parsvnath exotica,6.44,19000.0,3389.47,4.0,4.0,3,7.0,Moderately Old,3068.0,0,0,1,0,0,2,80,847.3675
sohna road,flat,mvn athens,0.26,5397.0,481.75,2.0,2.0,1,2.0,Relatively New,534.0,0,0,0,0,0,0,37,240.875
sector 113,flat,la vida by tata housing,2.85,12855.0,2217.04,3.0,3.0,3+,10.0,New Property,2006.0,0,0,1,0,0,0,72,739.0133333333333
sector 48,flat,parsvnath green ville,2.5,12820.0,1950.08,4.0,5.0,3,1.0,Moderately Old,2167.0,1,0,0,0,0,2,49,487.52
sector 81,flat,dlf the ultima,2.5,11726.0,2132.01,3.0,3.0,2,4.0,Relatively New,2130.0,0,0,1,0,0,1,82,710.6700000000001
sector 67a,flat,ireo the corridors,1.8,9370.0,1921.02,3.0,3.0,2,3.0,New Property,1551.0,0,0,0,1,1,2,150,640.34
sector 70a,flat,aipl zen residences,1.25,9904.0,1262.12,2.0,2.0,2,19.0,New Property,1402.0,0,0,0,0,0,0,42,631.06
sector 4,house,grover homes sec 4,4.75,9374.0,5067.2,5.0,5.0,1.0,1.0,Old Property,5067.0,0,1,1,0,1,2,35,1013.44
sector 83,flat,vatika gurgaon,1.05,7000.0,1500.0,3.0,3.0,3,3.0,Relatively New,1618.0,0,0,0,1,0,0,79,500.0
sector 63a,flat,birla navya,3.5,25925.0,1350.05,3.0,3.0,3,1.0,Under Construction,1350.05,0,0,0,0,0,0,38,450.01666666666665
sector 30,flat,afnhb jalvayu vihar,1.3,10000.0,1300.0,3.0,3.0,2,2.0,Old Property,1401.0,0,0,0,0,0,0,19,433.3333333333333
sector 37d,flat,bptp terra,1.17,8297.0,1410.15,2.0,2.0,2,0.0,Relatively New,1276.0,0,0,0,0,0,0,107,705.075
sector 56,flat,guru gram haryana cghs,1.38,7225.0,1910.03,3.0,3.0,3,5.0,Moderately Old,1910.0,0,0,0,0,1,2,134,636.6766666666666
dlf phase,flat,dlf belvedere towers,3.7,17619.0,2100.01,4.0,4.0,3,18.0,Old Property,2333.0,0,0,1,0,0,2,26,525.0025
sector 81,house,bestech park view ananda,4.35,7937.0,5480.7,4.0,4.0,3.0,2.0,Relatively New,5480.0,0,0,1,1,0,0,51,1370.175
sector 106,flat,paras dews,0.88,6353.0,1385.17,2.0,2.0,3+,1.0,Relatively New,940.0,0,0,0,0,0,0,49,692.585
sector 70,flat,shree vardhman victoria,1.8,9230.0,1950.16,3.0,3.0,3+,10.0,New Property,1765.0,1,0,0,0,0,2,49,650.0533333333334
sector 109,flat,ats tourmaline,2.3,8897.0,2585.14,3.0,4.0,3+,10.0,New Property,2339.0,1,0,1,0,0,0,74,861.7133333333333
sohna road,house,independent,1.55,14720.0,1053.0,2.0,3.0,2.0,1.0,New Property,1053.0,0,1,0,0,1,2,49,526.5
sector 79,flat,mapsko mount ville,1.25,8389.0,1490.05,3.0,3.0,3,22.0,Relatively New,1154.0,0,1,0,0,1,0,160,496.68333333333334
sector 79,flat,godrej,2.03,9046.0,2244.09,3.0,4.0,3+,7.0,Relatively New,2031.0,0,0,1,0,0,0,118,748.0300000000001
sector 90,flat,dlf regal gardens,1.25,8116.0,1540.17,3.0,3.0,3,8.0,Relatively New,1640.0,0,1,0,0,0,0,158,513.39
sector 95,flat,siddhartha apartment,1.1,4327.0,2542.18,4.0,3.0,3,9.0,Relatively New,2824.0,1,0,1,0,0,0,22,635.545
sector 66,flat,emaar mgf the enclave,1.9,10555.0,1800.09,3.0,4.0,2,8.0,Relatively New,1850.0,0,0,1,0,0,2,174,600.03
sector 68,flat,m3m sierra 68,1.2,9000.0,1333.33,2.0,2.0,3,1.0,Relatively New,982.0,0,0,0,0,0,1,76,666.665
sector 63a,flat,signature global city 63a,1.65,15263.0,1081.05,2.0,2.0,2,1.0,Under Construction,978.0,0,0,0,0,0,0,0,540.525
sector 70,flat,shree vardhman victoria,1.65,8461.0,1950.12,3.0,5.0,3,6.0,Relatively New,1527.0,0,1,1,0,0,0,167,650.04
sector 104,flat,ats triumph,2.6,8813.0,2950.19,4.0,4.0,3+,16.0,Relatively New,3064.0,0,0,1,0,0,2,150,737.5475
sector 91,flat,tarc maceo,1.8,7758.0,2320.19,3.0,3.0,3+,0.0,Relatively New,2578.0,0,1,0,0,0,1,45,773.3966666666666
dlf phase,house,nul,15.0,23437.0,6400.1,5.0,5.0,3.0,2.0,Moderately Old,6400.0,0,1,1,0,1,2,112,1280.02
sector 81,flat,dlf the ultima,3.5,11686.0,2995.04,4.0,5.0,3+,7.0,Relatively New,2577.0,0,0,1,0,0,1,174,748.76
sector 65,flat,emaar mgf emerald floors premier,2.25,13636.0,1650.04,3.0,3.0,3+,3.0,Relatively New,1493.0,0,0,1,0,1,0,152,550.0133333333333
sector 90,flat,dlf new town heights,1.2,6217.0,1930.19,3.0,3.0,3+,8.0,Moderately Old,2144.0,0,1,1,0,0,0,59,643.3966666666666
sector 89,flat,m3m soulitude,1.3,8700.0,1494.25,3.0,3.0,2,1.0,New Property,1179.0,1,0,0,0,0,0,45,498.0833333333333
sector 50,flat,the close north,3.0,11516.0,2605.07,3.0,3.0,3+,14.0,Old Property,2357.0,0,0,1,0,0,2,121,868.3566666666667
sector 39,flat,city heights,1.75,8750.0,2000.0,3.0,4.0,3,3.0,Old Property,2222.0,0,0,1,0,0,1,42,666.6666666666666
sector 92,flat,sare crescent parc,0.7,5556.0,1259.9,3.0,3.0,2,14.0,Under Construction,140.0,0,0,0,0,0,0,38,419.9666666666667
sector 50,house,unitech aspen greens,6.8,31481.0,2160.0,4.0,5.0,3.0,3.0,Old Property,2160.0,0,0,1,0,1,2,111,540.0
sector 1,flat,the nav manesar apartment,0.85,3953.0,2150.27,3.0,3.0,3+,5.0,Moderately Old,1946.0,0,0,1,0,0,0,5,716.7566666666667
sector 76,flat,whiteland the aspen,3.35,17615.0,1901.79,3.0,4.0,3+,5.0,Under Construction,2111.0,0,0,1,0,0,1,151,633.93
sector 102,flat,shapoorji pallonji joyville gurugram,0.95,10383.0,914.96,2.0,2.0,2,14.0,Relatively New,915.0,0,0,0,0,0,0,0,457.48
sector 70,flat,shree vardhman victoria,1.65,8461.0,1950.12,3.0,3.0,2,6.0,Relatively New,2167.0,0,0,0,0,1,0,72,650.04
sector 56,flat,cghs vidya enclave,1.7,10967.0,1550.1,3.0,2.0,3,6.0,Old Property,1585.0,0,0,0,1,0,0,101,516.6999999999999
sector 46,house,independent,4.25,23148.0,1836.0,5.0,4.0,2.0,3.0,Moderately Old,1836.0,0,0,0,1,0,2,57,367.2
sector 4,flat,not applicable,0.42,5600.0,750.0,2.0,2.0,1,3.0,Relatively New,833.0,0,0,0,0,0,2,26,375.0
sector 3,house,independent,0.55,5000.0,1100.0,2.0,1.0,0,1.0,Old Property,1100.0,0,0,0,0,0,0,0,550.0
sector 90,flat,dlf regal gardens,1.25,7167.0,1744.1,3.0,3.0,2,11.0,Relatively New,1578.0,1,0,0,0,0,0,14,581.3666666666667
sector 65,flat,m3m golfestate,6.1,18138.0,3363.11,3.0,3.0,3,19.0,Moderately Old,3027.0,0,0,1,0,1,2,174,1121.0366666666666
sohna road,flat,mvn athens,0.27,5897.0,457.86,2.0,2.0,1,4.0,Relatively New,508.0,1,0,0,0,0,2,35,228.93
sector 104,house,hero homes,1.95,21195.0,920.0,3.0,5.0,3+,2.0,Moderately Old,920.0,0,0,0,0,0,0,64,306.6666666666667
sector 90,flat,dlf regal gardens,1.25,6459.0,1935.28,3.0,3.0,3,10.0,Relatively New,1650.0,1,0,0,0,0,2,38,645.0933333333334
sector 85,flat,ss the leaf,1.87,7780.0,2403.6,3.0,4.0,3,7.0,Relatively New,2225.0,0,0,0,0,0,0,49,801.1999999999999
sector 82,flat,vatika the seven lamps,0.85,6538.0,1300.09,2.0,2.0,2,0.0,Relatively New,1176.0,0,0,0,0,0,2,49,650.045
sector 65,flat,emaar mgf emerald floors premier,2.85,14430.0,1975.05,4.0,4.0,3,2.0,Relatively New,1975.05,0,0,1,0,1,0,21,493.7625
sector 111,flat,lotus homz,0.5,14838.0,336.97,1.0,1.0,1,2.0,Relatively New,373.0,0,0,0,0,0,1,72,336.97
sector 12,house,independent,1.7,8000.0,2125.0,5.0,5.0,3.0,3.0,Moderately Old,2000.0,1,1,0,0,0,0,9,425.0
sector 107,flat,m3m woodshire,0.8,5856.0,1366.12,2.0,2.0,3+,6.0,Relatively New,1204.0,0,1,0,0,0,2,174,683.06
sector 90,flat,dlf regal gardens,2.05,9000.0,2277.78,4.0,4.0,3+,5.0,Relatively New,2005.0,0,0,0,0,0,2,49,569.445
sector 37d,flat,bptp terra,1.5,8282.0,1811.16,3.0,3.0,3,17.0,Relatively New,1692.0,1,0,0,0,0,0,49,603.72
sector 85,flat,ss the leaf,1.65,6852.0,2408.06,3.0,4.0,3,9.0,New Property,2179.0,0,1,0,0,0,0,21,802.6866666666666
sector 61,flat,smart world orchard,1.41,12250.0,1151.02,2.0,2.0,2,2.0,Under Construction,1150.0,0,0,0,0,1,0,76,575.51
sector 67,flat,ansal api esencia,1.0,6435.0,1554.0,3.0,3.0,3+,2.0,Moderately Old,1406.0,0,0,0,0,0,0,9,518.0
gwal pahari,flat,krrish provence estate,5.25,9051.0,5800.46,4.0,5.0,3+,2.0,New Property,5249.0,0,1,1,0,1,0,49,1450.115
