sector,property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 55,flat,sidhivinayak apartments,1.9,10555.0,1800.09,4.0,3.0,3+,9.0,Moderately Old,2000.0,0,1,0,0,0,1,35,450.0225
sohna road,flat,eldeco accolade,0.71,5607.0,1266.27,2.0,2.0,3,10.0,Relatively New,1154.0,0,0,0,0,0,0,159,633.135
sector 66,house,emaar mgf marbella,12.0,37037.0,3240.0,4.0,4.0,3+,3.0,Relatively New,3240.0,0,1,1,1,1,2,160,810.0
sector 107,flat,signature global solera,0.29,5930.0,489.04,2.0,2.0,2,3.0,Relatively New,543.0,0,0,0,0,0,0,45,244.52
sector 107,flat,signature global solera,0.35,6489.0,539.37,2.0,2.0,2,8.0,Relatively New,608.0,0,0,0,0,0,0,45,269.685
sector 81,flat,bestech park view grand spa,2.4,9022.0,2660.16,3.0,4.0,3+,8.0,New Property,2407.0,0,0,1,0,1,2,167,886.7199999999999
sushant lok,house,independent,4.75,28786.0,1650.1,3.0,3.0,3.0,2.0,Moderately Old,1650.1,0,0,0,1,0,2,96,550.0333333333333
sector 70,flat,shree vardhman victoria,1.65,8461.0,1950.12,3.0,4.0,3,1.0,Relatively New,1586.0,0,0,1,0,0,1,167,650.04
sector 8,house,independent,0.49,11250.0,435.6,2.0,3.0,2.0,3.0,Moderately Old,3240.0,0,0,0,0,0,0,8,217.8
dlf phase,house,independent,18.25,18250.0,10000.0,7.0,9.0,3+,4.0,Relatively New,11111.0,0,1,1,1,1,2,77,1428.571428571429
sector 107,flat,signature global solera,0.28,5674.0,493.48,2.0,2.0,2,11.0,Relatively New,543.0,0,0,0,0,0,0,29,246.74
sector 83,flat,vatika lifestyle homes,1.05,7500.0,1400.0,3.0,2.0,2,1.0,Moderately Old,1600.0,0,0,0,0,0,2,106,466.6666666666667
sector 28,house,housing board colony,3.5,25926.0,1350.0,2.0,6.0,3.0,3.0,Relatively New,1350.0,0,0,0,0,0,0,0,675.0
sector 37c,flat,ild greens,0.75,5245.0,1429.93,2.0,2.0,3+,13.0,Relatively New,1430.0,0,0,0,0,0,0,51,714.965
sector 81,flat,bestech park view ananda,1.35,7541.0,1790.21,3.0,3.0,3+,10.0,Moderately Old,1438.0,0,0,0,1,0,2,72,596.7366666666667
surat nagar,flat,zara aavaas,0.2,6644.0,301.02,1.0,2.0,2,3.0,New Property,334.0,0,0,0,0,0,0,67,301.02
sector 81,flat,bestech park view ananda,0.9,6618.0,1359.93,2.0,2.0,3,8.0,New Property,1231.0,1,0,0,0,0,0,60,679.965
