sector,property_type,price,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sector 85,flat,1.25,2.0,2.0,1730.0,0,0,Low
sector 4,flat,0.36,2.0,2.0,1056.0,0,0,Low
sector 7,house,2.3,5.0,3.0,1350.0,1,1,Low
sushant lok,house,5.8,6.0,6.0,1935.0,1,0,Low
sector 102,flat,1.98,3.0,3.0,2222.0,1,0,Medium
sector 109,flat,1.7,3.0,3.0,1550.0,0,0,Medium
sector 108,flat,2.6,3.0,3.0,1711.09,0,0,Medium
sector 70,flat,1.9,3.0,3.0,1765.0,1,0,Low
sector 65,flat,2.85,3.0,3.0,1828.09,0,0,Medium
sector 108,flat,1.0,2.0,2.0,2060.0,0,0,Low
sector 109,flat,1.5,3.0,3.0,1466.0,0,0,High
sector 50,house,13.2,6.0,6.0,4861.0,0,0,Low
sector 104,flat,2.55,4.0,4.0,2509.0,1,0,High
sector 86,flat,1.72,3.0,3.0,1746.0,0,0,Low
sector 9a,flat,0.95,3.0,3.0,1403.0,0,0,Low
sector 83,flat,1.42,4.0,4.0,2000.0,1,1,Medium
sector 106,flat,1.35,4.0,3.0,1678.0,1,0,Medium
sector 40,house,2.15,3.0,3.0,900.0,0,1,Low
sector 110,flat,0.22,2.0,1.0,543.0,0,0,Low
sector 90,flat,1.8,4.0,4.0,2468.0,0,0,Medium
sector 62,flat,0.9,1.0,1.0,639.0,0,0,Low
sector 33,flat,1.62,3.0,4.0,129.0,1,0,Medium
new palam,house,0.95,3.0,2.0,900.0,0,0,Low
sector 68,flat,1.0,2.0,2.0,1361.0,1,0,Medium
sector 85,flat,1.05,2.0,2.0,1512.0,0,0,Medium
sector 67,flat,2.95,3.0,3.0,2236.0,1,0,High
sector 49,flat,1.98,3.0,4.0,1750.0,1,0,Medium
sector 48,house,5.15,5.0,7.0,2727.0,1,0,Medium
sector 4,house,0.4,1.0,1.0,432.0,0,0,Low
sector 90,flat,1.21,3.0,3.0,1929.0,1,0,Medium
sector 50,house,10.0,5.0,7.0,7000.0,1,0,Low
sector 102,flat,2.5,4.0,5.0,2894.0,1,0,Medium
sector 88a,flat,1.45,2.0,2.0,146.0,0,1,Medium
sector 103,flat,1.2,2.0,2.0,1288.0,0,0,Low
sector 108,flat,0.85,3.0,3.0,1500.0,1,0,Medium
sector 105,house,0.38,2.0,2.0,56.0,0,0,Low
sector 33,house,10.0,5.0,6.0,4950.0,1,1,Low
sector 84,flat,0.35,2.0,2.0,537.0,0,0,Low
sector 83,flat,1.75,3.0,3.0,1549.0,1,0,Medium
sector 47,house,1.15,3.0,3.0,275.0,0,0,Low
sector 90,flat,1.2,3.0,3.0,1572.0,0,0,Medium
sector 84,flat,2.24,4.0,4.0,3165.0,1,0,Low
sector 111,flat,3.65,4.0,5.0,2670.0,1,0,Medium
sector 69,flat,1.7,4.0,4.0,1819.0,0,0,Medium
sector 72,flat,3.1,4.0,5.0,3374.0,1,1,Medium
sector 69,flat,0.75,2.0,2.0,991.0,0,0,Low
sector 102,flat,1.25,2.0,2.0,1100.0,0,0,Medium
sector 81,flat,0.5,2.0,2.0,700.0,0,0,Medium
sohna road,flat,0.72,2.0,2.0,1131.0,0,1,High
sector 99a,flat,0.27,2.0,2.0,538.0,0,0,Low
sector 61,flat,1.47,2.0,2.0,1333.0,0,1,Medium
sector 48,house,6.4,3.0,4.0,2592.0,1,1,Medium
sushant lok,flat,1.35,3.0,3.0,1320.0,0,0,Medium
sector 69,flat,1.92,4.0,5.0,2172.0,1,0,High
sector 70a,flat,1.51,3.0,3.0,1788.0,1,0,Low
sector 78,flat,1.15,3.0,3.0,1969.0,1,0,Low
dlf phase,house,4.0,4.0,4.0,1350.0,0,0,Low
sector 50,house,11.5,5.0,6.0,3240.0,0,0,Low
sector 93,flat,1.25,4.0,4.0,2105.0,0,0,Low
sector 69,flat,1.75,4.0,4.0,1783.0,0,0,Medium
sector 4,house,0.67,3.0,3.0,76.0,0,0,Low
sector 92,flat,0.8,3.0,3.0,1692.0,0,1,Medium
sector 109,house,6.25,4.0,4.0,5400.0,1,0,Medium
sector 92,flat,1.07,4.0,3.0,2040.0,1,1,Medium
sector 61,flat,1.6,2.0,2.0,1533.0,1,0,Medium
sushant lok,house,3.65,6.0,6.0,3450.0,1,1,High
sector 56,house,2.95,2.0,2.0,1458.0,0,0,Low
sohna road,flat,0.54,2.0,1.0,828.0,0,0,Medium
sector 45,house,10.0,6.0,6.0,3240.0,1,1,Medium
sector 37c,flat,1.2,3.0,4.0,1635.0,0,0,Medium
sector 71,flat,0.98,3.0,3.0,1466.0,0,1,Medium
sector 85,flat,1.83,3.0,3.0,2032.0,0,0,Medium
sector 1a,flat,0.92,3.0,3.0,1924.0,1,0,Low
sector 70a,house,4.0,4.0,4.0,6000.0,1,0,High
sector 104,flat,2.6,4.0,4.0,2851.0,1,0,Medium
sector 83,flat,1.8,3.0,4.0,1667.0,1,0,Medium
sector 77,flat,2.1,3.0,3.0,1833.0,1,1,Low
sector 56,flat,0.55,1.0,2.0,678.0,0,0,Medium
sohna road,flat,0.25,1.0,1.0,600.0,0,0,Low
sector 55,house,2.8,4.0,4.0,1500.0,0,0,Low
sector 5,flat,0.26,1.0,1.0,648.0,0,0,Low
sector 83,flat,1.76,3.0,3.0,1600.0,1,0,High
sector 111,flat,2.58,3.0,4.0,2200.05,1,0,Medium
sector 48,flat,5.15,3.0,3.0,2364.0,1,0,Medium
sector 60,flat,3.6,4.0,5.0,2604.0,1,0,Low
sector 62,flat,4.0,3.0,3.0,2342.0,1,0,Low
sector 79,flat,1.35,2.0,2.0,1350.0,0,1,Medium
sohna road,flat,0.71,2.0,2.0,1131.0,0,1,Low
sector 99a,flat,1.4,3.0,5.0,1807.0,0,0,Low
sector 90,flat,1.99,4.0,4.0,3030.0,1,0,Medium
sector 37c,flat,0.95,2.0,2.0,1578.0,1,0,Medium
sector 65,flat,3.67,3.0,3.0,2040.02,1,0,Low
sector 37c,flat,1.27,3.0,3.0,1581.0,0,1,Low
golf course,flat,1.5,2.0,2.0,1200.0,0,0,Low
sector 102,flat,1.7,3.0,4.0,1750.0,1,0,High
sector 50,flat,2.35,3.0,3.0,1900.0,0,0,Low
sector 66,flat,2.85,3.0,3.0,1950.05,0,1,Medium
sector 103,flat,0.8,2.0,2.0,1450.0,0,0,Medium
sector 83,flat,1.8,3.0,3.0,1719.0,0,0,Medium
sector 79,flat,1.7,3.0,2.0,1570.0,0,0,Low
sector 110,flat,2.25,4.0,4.0,2350.0,1,0,High
sector 108,flat,2.9,3.0,4.0,2003.04,0,0,Medium
sector 83,flat,0.83,2.0,2.0,1154.0,0,0,High
sector 104,flat,0.65,3.0,2.0,848.0,0,0,Medium
manesar,flat,0.85,3.0,3.0,2556.0,0,0,Low
dlf phase,house,13.5,5.0,5.0,4518.0,1,1,Medium
sector 92,flat,0.61,3.0,2.0,1141.0,0,0,Low
sohna road,flat,0.67,2.0,2.0,1095.0,0,0,Medium
sohna road,flat,0.26,1.0,1.0,438.0,0,0,Low
sector 50,flat,2.75,3.0,3.0,2400.0,1,0,Medium
sector 69,flat,1.66,4.0,4.0,1783.0,0,0,Medium
sector 70,flat,1.25,3.0,3.0,1688.0,0,0,Medium
sector 107,flat,0.8,2.0,2.0,1236.0,0,0,Medium
sector 50,house,3.99,4.0,5.0,4500.0,1,0,Medium
dlf phase,flat,1.35,2.0,2.0,1120.0,0,0,Medium
sector 69,flat,1.4,3.0,3.0,1428.0,0,0,Medium
sector 79,flat,1.69,3.0,3.0,1795.0,0,0,Medium
sector 9,house,1.1,4.0,3.0,200.0,0,0,Low
sector 39,house,1.7,2.0,2.0,8100.0,1,0,Low
sector 79,flat,0.9,2.0,2.0,1450.0,0,1,Medium
sohna road,flat,0.45,2.0,2.0,590.0,0,0,Low
sector 50,house,7.5,3.0,3.0,2160.0,1,0,Medium
sector 89,flat,0.8,2.0,2.0,1441.0,0,0,Low
sohna road road,house,0.5,2.0,1.0,900.0,0,0,Low
sector 52,flat,1.55,4.0,4.0,2100.0,0,0,Low
sector 70a,flat,1.7,4.0,3.0,2111.0,0,0,Low
sector 37d,flat,1.25,3.0,3.0,1725.0,0,0,Low
sector 17b,house,6.95,4.0,4.0,3500.0,1,1,Low
sector 112,flat,0.7,2.0,2.0,1498.0,0,0,Medium
sector 89,flat,1.2,3.0,3.0,1581.0,0,0,Low
sector 2,flat,1.26,2.0,2.0,1416.0,0,1,Medium
sector 51,flat,0.3,1.0,1.0,459.0,0,0,Low
sector 50,flat,6.0,4.0,3.0,3982.0,1,0,Low
dlf phase,house,6.5,4.0,3.0,1800.0,0,1,Low
sector 61,flat,2.25,3.0,3.0,1721.0,0,0,Low
sector 102,flat,2.12,3.0,3.0,1571.0,0,0,Medium
sector 1,flat,0.85,3.0,3.0,2200.0,0,0,Low
sector 37d,flat,1.0,3.0,3.0,1602.0,0,0,Low
sector 93,flat,0.38,2.0,2.0,660.0,0,0,Low
sector 86,flat,1.27,3.0,4.0,1800.0,1,0,Medium
sector 82,flat,1.6,4.0,5.0,2195.0,1,0,Medium
sector 67,flat,3.5,3.0,4.0,2225.0,1,0,High
sector 81,flat,4.5,4.0,6.0,3801.0,1,0,Low
sector 88a,flat,1.0,2.0,2.0,1611.0,0,1,Medium
sushant lok,house,4.6,6.0,6.0,2700.0,1,1,Medium
sector 92,flat,0.95,4.0,3.0,1983.0,0,0,Low
sector 11,house,2.5,5.0,4.0,1850.0,0,0,Low
sushant lok,house,3.3,4.0,3.0,1665.0,1,1,High
sector 92,flat,1.1,3.0,2.0,2350.0,0,0,Low
sector 89,flat,1.32,3.0,3.0,867.0,0,0,Low
sector 107,flat,0.9,2.0,2.0,1236.0,0,0,Low
sector 92,flat,0.71,3.0,3.0,1473.0,0,0,Medium
sector 82,flat,1.15,3.0,4.0,1620.0,1,0,Medium
sector 108,flat,3.75,3.0,3.0,2120.0,1,0,Medium
sector 79,flat,1.3,3.0,3.0,1215.0,0,1,High
sector 85,flat,0.9,4.0,4.0,1575.0,0,0,Low
sector 86,flat,0.43,2.0,2.0,557.0,0,1,Medium
sector 67,flat,2.99,3.0,3.0,2200.0,1,0,Low
sector 60,flat,3.7,4.0,5.0,2534.0,1,0,High
sector 6,house,0.85,2.0,2.0,1222.0,0,0,Low
sector 84,flat,0.94,3.0,2.0,1222.0,0,1,Medium
dlf phase,flat,2.35,3.0,3.0,1608.0,1,0,Medium
sector 92,flat,1.18,4.0,4.0,2518.0,1,0,Medium
sector 104,flat,1.95,3.0,3.0,2544.0,1,0,Medium
sector 83,flat,1.05,3.0,3.0,1588.0,1,1,High
sector 14,house,4.6,1.0,1.0,2250.0,0,0,Low
sector 104,flat,0.82,2.0,2.0,86.0,0,1,Medium
sector 105,house,1.15,3.0,2.0,3889.0,0,0,Low
surat nagar,house,0.6,4.0,3.0,1170.0,0,0,Low
sector 99a,flat,1.6,3.0,3.0,1810.0,0,0,Low
sector 63a,flat,0.42,3.0,2.0,630.0,0,0,Low
sector 92,flat,1.9,4.0,4.0,1920.0,1,1,Low
sector 102,flat,1.8,3.0,3.0,1531.0,0,0,Medium
gwal pahari,flat,1.0,2.0,2.0,833.0,0,0,Low
sector 7,house,3.1,3.0,3.0,2250.0,0,0,Low
sector 104,flat,1.35,4.0,5.0,3000.0,1,1,Medium
sector 36a,flat,0.5,1.0,1.0,600.0,0,0,Low
sector 105,flat,0.42,3.0,2.0,833.0,0,0,Low
sector 92,flat,1.0,4.0,4.0,2093.0,0,0,Low
sector 81,flat,4.0,4.0,5.0,3801.0,1,0,Medium
sector 108,flat,0.9,2.0,3.0,978.0,1,0,Medium
sector 70a,flat,0.97,3.0,3.0,1339.0,0,0,Medium
sector 46,house,2.2,3.0,3.0,909.0,0,0,Medium
sector 104,flat,0.85,2.0,2.0,1611.0,0,1,Medium
sector 103,flat,2.36,4.0,6.0,2729.0,1,0,High
sector 106,flat,1.05,2.0,2.0,1539.0,0,0,Medium
sector 89,flat,0.9,2.0,2.0,998.0,0,1,Medium
sector 17,house,9.5,8.0,8.0,4050.0,0,1,Low
sector 89,flat,0.95,2.0,2.0,804.0,0,1,Medium
sector 81,flat,2.91,4.0,5.0,3017.0,1,0,Medium
sector 67,flat,3.49,3.0,3.0,2724.0,1,0,Medium
sector 23,house,5.5,9.0,9.0,4200.0,1,0,Low
sector 85,flat,1.19,2.0,2.0,1670.0,0,0,Low
sector 109,house,1.55,3.0,2.0,2360.0,0,0,Low
sector 81,flat,0.31,1.0,1.0,366.0,0,0,Medium
sector 67,flat,1.2,3.0,3.0,200.0,0,0,Low
sohna road,flat,0.52,2.0,2.0,913.0,0,0,High
sector 93,flat,1.25,3.0,4.0,1350.0,0,0,Medium
sector 102,flat,2.4,3.0,4.0,2334.0,0,1,Low
sector 92,flat,1.19,4.0,3.0,2533.0,1,0,Medium
sector 69,flat,1.55,3.0,3.0,1428.0,0,0,High
sector 74,flat,1.6,2.0,2.0,1272.0,0,0,Low
sector 85,flat,1.14,2.0,2.0,1484.0,0,0,Medium
sector 67,flat,2.8,3.0,3.0,2047.08,1,0,Low
sector 92,flat,1.25,4.0,4.0,1939.0,1,0,Medium
sector 109,flat,1.5,3.0,3.0,2519.0,1,0,Low
sector 108,flat,1.7,3.0,4.0,1500.0,1,0,Medium
sector 81,flat,0.8,2.0,2.0,607.0,0,1,Low
sector 102,flat,1.28,2.0,2.0,1100.0,0,0,Low
sector 103,house,4.35,4.0,4.0,3222.0,1,1,Medium
dlf phase,flat,2.0,3.0,3.0,1273.0,0,0,Medium
sector 65,flat,2.35,3.0,3.0,1650.0,1,1,High
sector 52,flat,2.0,4.0,3.0,2091.0,1,0,Medium
sector 88a,flat,1.29,3.0,3.0,1642.0,0,1,Medium
sector 102,flat,2.0,3.0,4.0,1900.0,1,1,High
sector 83,flat,1.1,3.0,3.0,1570.0,1,0,Medium
sector 15,flat,0.43,2.0,2.0,856.0,0,0,Low
sector 68,flat,1.7,4.0,4.0,1809.0,0,0,Low
sector 111,flat,2.58,3.0,4.0,2200.05,1,0,Medium
sector 83,flat,1.8,3.0,4.0,1551.0,1,1,High
sector 102,flat,2.4,4.0,4.0,1957.0,0,0,Medium
sector 78,flat,0.69,2.0,2.0,1422.0,0,0,Medium
sector 57,house,3.15,5.0,4.0,1548.0,0,0,Medium
sector 92,flat,0.5,3.0,3.0,711.0,0,0,Medium
sector 104,flat,2.65,3.0,4.0,2089.0,1,0,High
sector 85,flat,0.55,2.0,2.0,1050.0,0,0,High
sector 1a,flat,1.2,3.0,3.0,2944.0,1,0,Low
sector 56,flat,1.5,3.0,5.0,2250.0,0,1,Medium
sector 7,house,0.53,2.0,2.0,900.0,0,0,Low
sector 69,flat,0.75,2.0,2.0,1100.0,0,0,Low
sector 70a,flat,1.69,3.0,3.0,1900.0,1,0,High
sector 23,house,5.65,7.0,7.0,5000.0,1,0,Medium
sector 78,flat,4.75,3.0,3.0,2813.0,1,0,Medium
dwarka expressway,house,0.85,1.0,5.0,600.0,0,0,Low
sector 95,flat,0.48,2.0,2.0,744.0,0,0,Low
sector 70a,flat,1.64,3.0,3.0,1950.0,1,0,Medium
sector 109,house,1.87,3.0,4.0,2150.0,0,0,Low
sector 69,flat,1.8,4.0,5.0,2200.0,1,0,High
sector 62,flat,8.35,4.0,6.0,3872.0,1,0,High
sector 85,flat,1.04,2.0,2.0,1550.0,0,0,Medium
sector 74,flat,1.54,2.0,2.0,1200.0,0,0,Medium
sector 69,flat,1.75,4.0,4.0,1783.0,0,0,Medium
sector 33,flat,3.3,3.0,3.0,2667.0,1,1,Medium
sector 58,flat,3.8,3.0,4.0,2164.01,1,0,High
sector 74,flat,2.2,3.0,3.0,1826.0,0,1,Low
sector 99,flat,0.82,2.0,2.0,1365.0,0,0,Medium
dlf phase,flat,2.3,3.0,3.0,1777.0,1,0,Medium
sector 67a,flat,2.0,3.0,3.0,1584.0,0,1,Low
sector 85,flat,0.69,2.0,2.0,1075.0,0,0,Low
sector 84,flat,1.48,3.0,3.0,1624.0,1,0,Medium
sector 53,flat,5.6,3.0,3.0,2617.0,0,0,Low
sector 11,flat,0.35,2.0,2.0,658.0,0,0,Medium
sector 72,flat,3.85,4.0,5.0,2629.0,1,0,High
sector 104,flat,0.9,2.0,2.0,1259.0,0,0,Low
sector 85,flat,2.15,4.0,5.0,2366.0,1,0,High
sector 86,flat,1.05,3.0,3.0,1715.0,1,0,Low
sector 37d,flat,0.5,3.0,3.0,778.0,0,0,Low
sector 3,flat,0.3,2.0,2.0,750.0,0,0,Low
sector 113,flat,1.35,2.0,2.0,1090.0,0,0,High
sector 2,flat,1.4,3.0,3.0,1611.0,0,0,Medium
sector 45,flat,2.4,3.0,3.0,195.0,1,0,Low
sector 57,house,8.0,5.0,4.0,2700.0,1,1,Low
sector 67a,flat,0.53,2.0,2.0,657.0,0,0,Low
sector 48,flat,1.6,3.0,3.0,1700.0,0,0,Medium
sector 12,flat,1.15,3.0,4.0,2000.0,1,0,Low
sector 67,flat,4.5,4.0,4.0,2854.0,1,0,High
sector 106,flat,1.15,3.0,4.0,1305.0,1,1,Low
sohna road,flat,0.9,2.0,2.0,1105.0,0,0,Medium
sector 81,flat,2.3,3.0,4.0,1893.0,1,0,High
sector 86,flat,1.6,3.0,3.0,1548.0,0,0,High
sohna road,flat,0.65,2.0,2.0,822.0,0,0,Medium
sector 83,flat,0.95,2.0,2.0,1300.0,0,0,Medium
sector 105,house,0.7,3.0,2.0,1200.0,0,0,Low
sector 104,flat,1.85,3.0,3.0,2072.0,1,0,High
sector 55,flat,1.9,4.0,3.0,2000.0,0,0,Low
sohna road,flat,0.71,2.0,2.0,1154.0,0,0,High
sector 66,house,12.0,4.0,4.0,3240.0,1,1,High
sector 107,flat,0.29,2.0,2.0,543.0,0,0,Low
sector 107,flat,0.35,2.0,2.0,608.0,0,0,Low
sector 81,flat,2.4,3.0,4.0,2407.0,1,1,High
sushant lok,house,4.75,3.0,3.0,1650.1,0,0,Medium
sector 70,flat,1.65,3.0,4.0,1586.0,1,0,High
sector 8,house,0.49,2.0,3.0,3240.0,0,0,Low
dlf phase,house,18.25,7.0,9.0,11111.0,1,1,Medium
sector 107,flat,0.28,2.0,2.0,543.0,0,0,Low
sector 83,flat,1.05,3.0,2.0,1600.0,0,0,Medium
sector 28,house,3.5,2.0,6.0,1350.0,0,0,Low
sector 37c,flat,0.75,2.0,2.0,1430.0,0,0,Medium
sector 81,flat,1.35,3.0,3.0,1438.0,0,0,Medium
surat nagar,flat,0.2,1.0,2.0,334.0,0,0,Medium
sector 81,flat,0.9,2.0,2.0,1231.0,0,0,Medium
sector 77,flat,1.5,3.0,3.0,1310.0,0,0,Medium
sector 3,house,0.9,3.0,1.0,1008.0,0,0,Low
sector 68,flat,1.25,2.0,2.0,938.0,0,0,Low
sector 22,flat,1.75,2.0,2.0,1249.0,0,0,Medium
sector 14,house,6.4,6.0,6.0,3150.1,0,0,Low
sector 85,flat,1.18,2.0,3.0,1420.0,0,0,High
sector 4,house,4.12,2.0,1.0,4635.0,0,0,Low
sector 81,flat,2.3,3.0,3.0,1617.0,1,1,Low
sector 106,flat,1.2,3.0,4.0,1186.0,1,0,High
sushant lok,house,2.15,1.0,1.0,1650.0,0,0,Low
sector 85,flat,1.35,2.0,2.0,102.0,0,0,Low
sector 81,flat,2.4,3.0,3.0,1800.0,1,0,High
sector 99a,flat,0.32,2.0,2.0,473.0,0,0,Medium
sushant lok,house,27.5,6.0,7.0,11286.0,1,1,Low
sohna road,flat,0.45,2.0,2.0,789.0,0,0,Low
sector 112,house,7.99,4.0,6.0,6382.0,1,0,Medium
sector 61,flat,3.87,3.0,4.0,2250.0,1,0,Medium
sector 111,flat,3.45,4.0,5.0,2670.0,1,0,Medium
sector 72,flat,3.4,3.0,4.0,2185.09,1,0,Low
sector 69,flat,3.05,4.0,5.0,2856.0,1,0,Low
sector 55,house,5.0,2.0,9.0,1125.0,0,0,Low
sector 89,flat,1.5,3.0,3.0,1480.0,0,0,Medium
sector 90,flat,1.65,4.0,4.0,2468.0,0,0,Medium
sector 65,flat,1.73,3.0,3.0,1262.0,1,0,High
sector 90,flat,0.47,2.0,2.0,767.0,0,0,Low
sector 56,house,3.25,5.0,6.0,1512.0,0,0,Low
sector 80,flat,1.4,3.0,4.0,1854.0,0,0,Medium
sector 108,flat,0.98,2.0,3.0,978.0,1,1,Low
sector 65,flat,5.2,3.0,3.0,2696.0,1,1,Medium
sector 102,flat,1.45,3.0,3.0,1493.0,1,0,High
sector 90,flat,1.79,4.0,3.0,2461.0,0,0,Medium
sector 92,flat,0.9,4.0,5.0,1692.0,1,0,Medium
sector 67a,flat,1.4,2.0,2.0,1149.0,0,1,Medium
sector 82a,flat,1.8,3.0,3.0,1545.0,1,0,High
sector 102,flat,1.52,3.0,3.0,1314.0,1,0,Medium
sector 81,flat,0.4,2.0,2.0,586.0,0,0,Low
sector 7,house,1.2,2.0,4.0,1072.0,0,0,Low
sohna road,flat,0.68,2.0,2.0,916.0,0,0,Medium
sector 67a,flat,1.85,4.0,4.0,2556.0,0,0,Low
sector 92,flat,0.5,2.0,2.0,1000.0,0,0,Low
