sector,property_type,price,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sector 54,flat,5.7,3.0,3.0,1381.99,0,0,Low
sector 99a,flat,1.38,4.0,5.0,2150.0,1,0,Low
sector 107,flat,1.15,2.0,2.0,1281.0,0,1,Low
sector 108,flat,1.02,2.0,3.0,1283.0,0,1,Medium
sector 109,flat,2.22,3.0,3.0,1896.0,1,0,Medium
sector 67,flat,2.35,3.0,4.0,1751.0,1,0,High
sector 84,flat,1.15,2.0,2.0,1361.0,0,1,Low
sector 92,house,1.8,4.0,5.0,2360.0,0,0,Low
sector 70a,house,2.1,3.0,2.0,667.0,0,0,Low
sector 49,flat,0.94,1.0,2.0,746.0,0,0,Low
sector 1a,flat,1.5,4.0,5.0,2135.0,1,0,Low
sector 107,flat,0.28,2.0,2.0,543.0,0,0,Low
sector 90,flat,1.29,3.0,3.0,1817.0,1,0,High
gwal pahari,flat,5.9,4.0,4.0,4842.0,1,1,High
sector 77,flat,1.64,4.0,3.0,1765.0,1,0,Medium
sector 82,flat,0.89,2.0,2.0,1202.0,0,1,Medium
sohna road road,house,0.5,2.0,4.0,725.0,0,0,Low
sector 67a,flat,1.9,4.0,4.0,1991.0,0,0,Medium
sector 92,flat,1.68,3.0,4.0,1804.0,1,0,High
sector 79,flat,2.0,3.0,4.0,2629.0,1,0,High
sector 33,flat,2.96,4.0,4.0,2371.0,1,0,Low
sector 104,flat,1.75,3.0,3.0,1529.0,0,0,Low
sector 90,flat,1.88,4.0,4.0,2726.0,1,0,Medium
sector 105,flat,0.45,3.0,2.0,1056.0,0,0,Low
sector 70a,flat,0.95,2.0,2.0,930.0,0,0,Medium
sector 104,flat,2.45,3.0,4.0,2131.0,1,0,Medium
sector 48,flat,1.8,3.0,4.0,1951.0,0,1,Medium
sector 71,flat,1.3,4.0,4.0,2127.0,1,0,Medium
sector 99a,flat,1.45,3.0,5.0,1807.0,1,0,Low
sector 23,house,2.9,4.0,4.0,2500.0,1,0,Low
sector 108,flat,0.93,2.0,3.0,1161.0,0,0,Medium
sohna road,flat,1.1,3.0,2.0,1319.0,0,0,Medium
sector 12,house,1.7,1.0,1.0,1800.0,1,0,Low
sector 102,flat,1.95,3.0,4.0,2334.0,1,1,Medium
sector 70a,house,5.4,4.0,5.0,2610.0,1,1,Medium
sector 113,flat,2.9,4.0,4.0,2553.0,1,1,Low
sector 95,flat,0.55,3.0,2.0,811.0,0,1,Medium
sector 83,flat,1.72,3.0,3.0,1600.0,1,0,High
sector 49,flat,1.95,3.0,3.0,1633.0,0,0,Medium
sector 108,flat,2.9,3.0,4.0,2003.04,0,0,Medium
sector 12,house,0.42,3.0,3.0,567.0,0,0,Low
sector 86,flat,1.25,2.0,2.0,1339.0,0,1,Low
sector 111,house,9.0,5.0,5.0,8000.0,1,0,Medium
sector 54,house,5.7,4.0,4.0,2430.0,0,0,Low
sector 103,flat,0.8,2.0,2.0,1089.0,0,0,High
sector 92,flat,0.49,2.0,2.0,1109.0,0,0,Medium
sushant lok,house,3.49,4.0,4.0,1728.0,1,1,Low
sector 93,flat,0.85,2.0,2.0,597.0,0,0,Low
sector 45,flat,2.25,4.0,4.0,3194.0,1,0,Low
sector 95,flat,0.37,3.0,2.0,716.0,0,0,Medium
c block,house,3.35,1.0,1.0,1242.0,0,0,Low
sector 67a,flat,1.62,3.0,3.0,1346.0,0,0,Medium
sector 102,flat,1.45,3.0,3.0,1300.0,1,0,Low
sector 66,flat,1.32,2.0,2.0,1048.0,0,0,Low
sector 72,flat,3.9,4.0,4.0,2509.0,1,0,Low
sector 111,flat,1.65,3.0,4.0,2104.0,1,0,Low
sector 45,house,17.0,5.0,8.0,4500.0,1,1,High
sector 33,flat,1.79,3.0,3.0,1619.0,0,0,Medium
sector 107,flat,0.37,2.0,2.0,496.0,0,0,Medium
sector 9a,flat,0.75,3.0,3.0,1433.0,0,0,Low
sector 33,flat,1.1,2.0,2.0,1275.0,0,0,Low
sector 69,flat,0.9,3.0,2.0,1326.0,0,0,Medium
sohna road,flat,0.35,2.0,2.0,699.0,0,0,Medium
surat nagar,house,0.36,2.0,2.0,459.0,0,0,Low
sector 56,flat,1.55,3.0,3.0,1800.0,1,0,High
sector 61,flat,1.85,2.0,2.0,1389.0,0,0,Low
sector 56,flat,0.52,1.0,1.0,475.0,0,0,Low
sector 82,flat,0.78,2.0,2.0,1175.0,0,0,Medium
sector 57,flat,5.5,5.0,6.0,5010.0,1,0,High
sector 62,flat,3.95,3.0,3.0,2876.0,1,0,Low
sector 10a,flat,0.9,2.0,2.0,1086.0,0,0,Medium
sector 71,flat,0.82,2.0,2.0,1086.0,0,0,Low
sector 79,flat,0.83,2.0,2.0,1700.0,0,1,Low
sector 60,flat,2.05,2.0,3.0,1520.0,0,0,High
sohna road,flat,0.73,2.0,2.0,1148.0,0,0,Medium
sector 71,flat,0.39,1.0,1.0,294.0,0,0,Low
sector 3,flat,1.35,2.0,2.0,1056.0,0,0,Medium
sector 49,house,6.75,4.0,4.0,2088.0,1,0,Low
sector 7,house,2.43,4.0,4.0,345.0,0,1,Low
dlf phase,house,1.44,4.0,2.0,540.0,0,0,Low
sector 77,flat,0.99,2.0,2.0,1126.0,0,0,Medium
sohna road,flat,0.99,2.0,2.0,1045.0,0,0,Low
sector 11,flat,0.8,3.0,2.0,1403.0,0,0,Low
sector 33,flat,1.45,3.0,2.0,1512.0,0,0,Low
sector 39,flat,2.0,3.0,3.0,2400.0,0,0,Low
sector 85,flat,1.14,2.0,2.0,1604.0,0,0,Low
sector 77,flat,1.1,3.0,4.0,1829.0,1,0,Low
dlf phase,flat,5.8,3.0,4.0,3700.0,1,1,Medium
sector 56,flat,0.47,1.0,1.0,672.0,0,0,Medium
dlf phase,house,12.5,5.0,5.0,3240.0,1,1,Medium
sector 108,flat,3.25,3.0,3.0,2072.04,0,0,Medium
sector 85,flat,2.1,3.0,4.0,2026.0,1,0,High
sector 86,flat,1.3,3.0,3.0,1715.0,1,0,Low
sector 81,flat,2.28,3.0,3.0,1750.0,1,0,Low
sector 54,flat,1.75,3.0,3.0,2100.0,1,0,Medium
sector 37c,flat,0.42,2.0,2.0,833.0,0,0,Low
sector 109,house,11.25,7.0,5.0,4500.0,1,1,Low
sector 70a,flat,1.1,2.0,2.0,1312.0,0,0,Medium
sohna road,flat,0.22,1.0,1.0,477.0,0,0,Low
sector 77,flat,1.25,3.0,4.0,1310.0,1,1,Low
sector 49,house,2.5,3.0,3.0,1900.0,0,0,Medium
sector 61,flat,1.6,2.0,2.0,1278.0,0,1,Medium
sector 45,house,16.0,6.0,7.0,4500.0,1,1,Medium
sector 112,flat,4.75,3.0,5.0,3405.0,1,0,Low
sector 93,flat,1.45,3.0,4.0,1350.0,0,0,Medium
sector 113,flat,1.45,2.0,2.0,1080.0,0,0,Medium
sector 83,flat,1.08,3.0,3.0,1570.0,0,0,Low
sushant lok,house,6.0,4.0,5.0,2700.0,1,0,Low
sector 60,flat,2.12,2.0,2.0,1350.0,0,0,High
sector 102,flat,1.95,3.0,3.0,1465.0,0,0,Medium
sector 86,flat,0.82,2.0,2.0,1300.0,0,0,Low
sector 3,flat,0.58,2.0,2.0,900.0,0,0,Medium
dlf phase,house,1.6,7.0,5.0,540.0,0,0,Low
sector 15,flat,1.6,3.0,3.0,1611.0,0,0,Medium
sector 81,flat,0.6,2.0,2.0,814.0,0,0,Low
sector 46,house,5.5,8.0,8.0,2385.0,0,1,Low
sector 6,flat,0.48,3.0,2.0,111.0,0,0,Medium
sector 92,flat,2.0,4.0,5.0,2453.0,1,0,Medium
sector 69,flat,1.36,3.0,3.0,1392.0,0,0,Medium
sector 83,flat,0.4,1.0,1.0,520.0,0,0,Medium
sector 90,flat,1.29,3.0,3.0,1540.0,0,1,High
sector 33,house,8.0,4.0,4.0,7000.0,1,1,Medium
sector 106,flat,0.97,2.0,2.0,1200.0,0,0,High
sector 82,flat,1.25,3.0,4.0,1774.0,0,0,Medium
sector 48,flat,1.38,3.0,3.0,1611.0,0,0,Medium
sector 90,flat,1.26,3.0,3.0,1603.0,0,0,Low
sector 65,flat,1.7,3.0,3.0,1081.0,0,1,Medium
sohna road,flat,0.74,2.0,2.0,1367.0,0,0,Medium
sector 38,flat,2.1,4.0,4.0,1954.0,0,0,Low
sector 109,house,9.5,7.0,6.0,3600.0,1,1,Medium
sector 82,flat,1.28,3.0,3.0,1800.0,0,1,High
sector 103,flat,1.65,3.0,3.0,1683.0,0,1,Low
sector 69,flat,0.9,3.0,2.0,1473.0,0,0,Medium
sector 37d,flat,0.8,2.0,2.0,1300.0,0,0,Medium
sector 92,flat,0.8,4.0,4.0,1893.0,0,0,Medium
sector 112,flat,3.0,3.0,3.0,2600.0,0,0,Low
sector 89,flat,1.25,3.0,3.0,1288.0,0,1,Medium
sector 63,flat,4.49,4.0,4.0,3149.99,0,0,Medium
sector 83,flat,1.3,3.0,3.0,1387.0,1,0,High
sector 67,flat,2.98,3.0,3.0,2047.13,0,0,Low
sector 56,flat,1.74,3.0,3.0,2400.0,1,0,Medium
sector 65,flat,2.6,3.0,3.0,1649.96,0,0,Low
sector 7,house,1.75,4.0,2.0,1575.0,0,0,Low
sector 67,flat,3.0,3.0,3.0,2047.08,0,0,High
sector 82a,flat,3.85,5.0,6.0,5711.0,1,0,Medium
sushant lok,house,3.5,4.0,4.0,1620.0,0,0,Medium
sector 1a,flat,1.25,4.0,4.0,2946.0,0,0,Low
valley view,flat,1.5,4.0,4.0,1850.0,0,0,Medium
sector 84,flat,2.2,4.0,4.0,3222.0,1,0,Low
sohna road,flat,0.3,2.0,2.0,567.0,0,0,Low
sector 73,house,17.0,5.0,8.0,9000.0,1,1,Medium
sohna road,flat,0.78,3.0,3.0,1344.0,0,0,High
sector 37d,flat,1.45,3.0,3.0,1711.0,0,0,Medium
dlf phase,house,17.3,6.0,7.0,4518.0,1,1,Medium
sector 53,flat,6.44,4.0,4.0,3068.0,1,0,Medium
sohna road,flat,0.26,2.0,2.0,534.0,0,0,Low
sector 113,flat,2.85,3.0,3.0,2006.0,1,0,Medium
sector 48,flat,2.5,4.0,5.0,2167.0,0,0,Low
sector 81,flat,2.5,3.0,3.0,2130.0,1,0,Medium
sector 67a,flat,1.8,3.0,3.0,1551.0,0,1,High
sector 70a,flat,1.25,2.0,2.0,1402.0,0,0,Low
sector 4,house,4.75,5.0,5.0,5067.0,1,1,Low
sector 83,flat,1.05,3.0,3.0,1618.0,0,0,Medium
sector 63a,flat,3.5,3.0,3.0,1350.05,0,0,Low
sector 30,flat,1.3,3.0,3.0,1401.0,0,0,Low
sector 37d,flat,1.17,2.0,2.0,1276.0,0,0,Medium
sector 56,flat,1.38,3.0,3.0,1910.0,0,1,Medium
dlf phase,flat,3.7,4.0,4.0,2333.0,1,0,Low
sector 81,house,4.35,4.0,4.0,5480.0,1,0,Medium
sector 106,flat,0.88,2.0,2.0,940.0,0,0,Low
sector 70,flat,1.8,3.0,3.0,1765.0,0,0,Low
sector 109,flat,2.3,3.0,4.0,2339.0,1,0,Medium
sohna road,house,1.55,2.0,3.0,1053.0,0,1,Low
sector 79,flat,1.25,3.0,3.0,1154.0,0,1,High
sector 79,flat,2.03,3.0,4.0,2031.0,1,0,Medium
sector 90,flat,1.25,3.0,3.0,1640.0,0,0,High
sector 95,flat,1.1,4.0,3.0,2824.0,1,0,Low
sector 66,flat,1.9,3.0,4.0,1850.0,1,0,High
sector 68,flat,1.2,2.0,2.0,982.0,0,0,Medium
sector 63a,flat,1.65,2.0,2.0,978.0,0,0,Low
sector 70,flat,1.65,3.0,5.0,1527.0,1,0,High
sector 104,flat,2.6,4.0,4.0,3064.0,1,0,High
sector 91,flat,1.8,3.0,3.0,2578.0,0,0,Low
dlf phase,house,15.0,5.0,5.0,6400.0,1,1,Medium
sector 81,flat,3.5,4.0,5.0,2577.0,1,0,High
sector 65,flat,2.25,3.0,3.0,1493.0,1,1,High
sector 90,flat,1.2,3.0,3.0,2144.0,1,0,Medium
sector 89,flat,1.3,3.0,3.0,1179.0,0,0,Low
sector 50,flat,3.0,3.0,3.0,2357.0,1,0,Medium
sector 39,flat,1.75,3.0,4.0,2222.0,1,0,Low
sector 92,flat,0.7,3.0,3.0,140.0,0,0,Low
sector 50,house,6.8,4.0,5.0,2160.0,1,1,Medium
sector 1,flat,0.85,3.0,3.0,1946.0,1,0,Low
sector 76,flat,3.35,3.0,4.0,2111.0,1,0,High
sector 102,flat,0.95,2.0,2.0,915.0,0,0,Low
sector 70,flat,1.65,3.0,3.0,2167.0,0,1,Medium
sector 56,flat,1.7,3.0,2.0,1585.0,0,0,Medium
sector 46,house,4.25,5.0,4.0,1836.0,0,0,Medium
sector 4,flat,0.42,2.0,2.0,833.0,0,0,Low
sector 3,house,0.55,2.0,1.0,1100.0,0,0,Low
sector 90,flat,1.25,3.0,3.0,1578.0,0,0,Low
sector 65,flat,6.1,3.0,3.0,3027.0,1,1,High
sohna road,flat,0.27,2.0,2.0,508.0,0,0,Low
sector 104,house,1.95,3.0,5.0,920.0,0,0,Medium
sector 90,flat,1.25,3.0,3.0,1650.0,0,0,Low
sector 85,flat,1.87,3.0,4.0,2225.0,0,0,Low
sector 82,flat,0.85,2.0,2.0,1176.0,0,0,Low
sector 65,flat,2.85,4.0,4.0,1975.05,1,1,Low
sector 111,flat,0.5,1.0,1.0,373.0,0,0,Medium
sector 12,house,1.7,5.0,5.0,2000.0,0,0,Low
sector 107,flat,0.8,2.0,2.0,1204.0,0,0,High
sector 90,flat,2.05,4.0,4.0,2005.0,0,0,Low
sector 37d,flat,1.5,3.0,3.0,1692.0,0,0,Low
sector 85,flat,1.65,3.0,4.0,2179.0,0,0,Low
sector 61,flat,1.41,2.0,2.0,1150.0,0,1,Medium
sector 67,flat,1.0,3.0,3.0,1406.0,0,0,Low
gwal pahari,flat,5.25,4.0,5.0,5249.0,1,1,Low
sohna road,flat,1.2,3.0,3.0,1780.0,0,0,Medium
sector 89,flat,0.25,1.0,1.0,430.0,0,0,Medium
sector 70,flat,0.99,3.0,4.0,1416.0,0,0,Low
sector 92,flat,0.5,2.0,2.0,905.0,0,0,Medium
sector 79,flat,1.3,2.0,2.0,1423.0,0,1,Low
sector 37d,flat,1.71,3.0,3.0,2191.0,0,1,Low
sector 86,flat,0.43,2.0,2.0,557.0,0,0,Medium
sohna road,flat,0.55,2.0,2.0,913.0,0,0,Medium
sector 81,flat,0.95,2.0,2.0,1260.0,0,0,High
sector 65,flat,5.3,3.0,3.0,2506.0,1,0,Low
sector 113,flat,3.72,5.0,4.0,2956.0,0,0,Low
dlf phase,house,8.0,3.0,9.0,11111.0,0,0,Low
sector 33,flat,0.4,2.0,2.0,623.0,0,0,Low
sohna road,flat,0.95,2.0,2.0,1175.0,0,1,Medium
sector 99a,flat,0.3,2.0,1.0,511.0,0,0,Medium
sector 88a,flat,0.45,2.0,2.0,694.0,0,0,Low
sector 109,flat,1.4,3.0,3.0,1466.0,0,0,Low
sector 79,flat,1.45,2.0,2.0,1578.0,0,0,Medium
sector 63,house,1.5,3.0,3.0,2385.0,0,0,Low
sector 92,flat,1.44,4.0,4.0,2267.0,0,0,Low
sector 85,flat,1.15,2.0,2.0,1380.0,0,0,High
sector 8,house,0.59,2.0,2.0,585.0,0,0,Low
sector 109,house,7.0,5.0,5.0,6228.0,1,0,Medium
sector 56,flat,1.45,3.0,3.0,1900.0,1,1,High
sector 55,flat,1.44,3.0,3.0,1700.0,0,0,Low
sector 85,flat,2.17,4.0,4.0,2600.0,1,1,Low
sector 108,flat,2.45,3.0,3.0,1460.0,0,0,Low
sector 71,flat,1.12,3.0,4.0,1631.0,1,0,Medium
sector 99,flat,3.25,4.0,4.0,3041.0,1,0,Medium
sector 46,house,4.5,6.0,6.0,1845.0,0,0,Medium
sector 7,house,1.0,2.0,2.0,126.0,0,1,Low
sector 81,flat,2.21,3.0,3.0,1881.0,1,0,Medium
sohna road,flat,0.87,3.0,2.0,1210.0,0,0,Medium
sector 107,flat,0.28,2.0,2.0,543.0,0,0,Low
sector 81,flat,2.25,3.0,3.0,1929.0,1,0,High
dlf phase,house,4.31,5.0,4.0,1350.0,0,0,Low
sector 30,flat,0.85,2.0,2.0,734.0,0,0,Low
sector 65,flat,2.8,4.0,4.0,2194.0,1,1,Medium
sector 93,flat,0.4,2.0,2.0,603.0,0,0,Low
sector 17,house,2.98,2.0,6.0,1449.0,0,1,Medium
sector 92,flat,0.85,3.0,2.0,1300.0,0,0,Low
sector 91,house,3.6,4.0,4.0,2430.0,0,0,Low
sector 67,flat,3.15,3.0,4.0,2219.0,1,0,Medium
sector 70,flat,1.75,3.0,5.0,1950.0,0,0,Low
sector 82,flat,1.39,3.0,3.0,1955.0,1,1,Medium
sector 33,flat,3.25,4.0,4.0,4809.0,1,0,Medium
sector 7,house,1.35,4.0,5.0,330.0,0,0,Low
sector 71,flat,0.6,2.0,2.0,557.0,0,0,Medium
sector 108,flat,2.29,4.0,5.0,2779.0,1,0,Medium
sector 53,flat,7.4,4.0,4.0,2477.0,0,0,Low
sector 54,flat,1.5,3.0,3.0,1700.0,0,0,Medium
sector 104,flat,0.85,2.0,2.0,1269.0,0,1,Medium
sector 109,flat,1.75,3.0,3.0,1466.0,0,0,Low
sector 2,flat,0.95,2.0,3.0,1444.0,0,1,Low
sector 104,flat,2.49,3.0,3.0,2217.0,1,0,Medium
sector 67,flat,3.65,3.0,4.0,2490.0,1,0,Medium
sector 22,flat,1.99,2.0,2.0,1285.0,1,1,Low
sector 69,flat,1.78,4.0,4.0,1819.0,0,0,High
sector 3,house,0.37,1.0,1.0,480.0,0,0,Low
sector 83,flat,0.95,3.0,3.0,1489.0,0,0,Low
sector 10a,flat,1.1,3.0,3.0,1833.0,0,0,Low
sector 2,house,2.9,4.0,4.0,1557.0,0,0,Low
dlf phase,flat,5.25,4.0,4.0,2570.0,1,0,Medium
sector 84,flat,0.3,1.0,1.0,500.0,0,0,Low
sector 83,flat,0.85,2.0,2.0,1100.0,0,0,Medium
sheetla colony,house,0.7,2.0,2.0,909.0,0,0,Low
sector 82,flat,1.22,3.0,5.0,2000.0,1,0,Medium
sector 69,flat,2.07,3.0,3.0,1640.0,0,0,Low
sector 7,house,8.0,4.0,5.0,3600.0,1,1,Low
sector 61,flat,2.04,3.0,3.0,1595.0,1,0,High
sector 68,flat,1.32,2.0,2.0,1460.0,0,0,Low
sector 28,house,0.75,2.0,4.0,360.0,0,0,Low
sector 110,flat,3.49,4.0,5.0,3077.0,1,0,High
sector 67,flat,2.9,3.0,3.0,2047.01,0,0,Low
sohna road,flat,0.24,1.0,1.0,360.0,0,0,Medium
sector 92,flat,1.55,3.0,4.0,1805.0,1,0,Medium
sector 2,house,2.55,3.0,3.0,1557.0,0,0,Low
sohna road,flat,0.5,2.0,2.0,590.0,0,0,Low
sohna road,flat,0.4,2.0,2.0,900.0,0,0,Low
sector 106,house,5.6,5.0,4.0,4000.0,1,1,High
gwal pahari,flat,5.9,4.0,4.0,5350.0,0,0,Medium
sector 22,house,4.7,6.0,6.0,2368.1,0,0,Medium
sector 79,flat,1.33,2.0,2.0,1411.0,0,1,High
sector 48,flat,11.25,4.0,5.0,4422.0,1,0,Low
sector 6,house,0.66,3.0,2.0,612.0,0,0,Low
sector 113,flat,2.87,4.0,4.0,2553.0,1,0,Medium
sector 102,flat,0.97,2.0,2.0,741.0,0,0,High
sector 37c,flat,0.35,2.0,2.0,850.0,0,0,High
sector 9a,flat,1.25,4.0,3.0,2007.0,1,0,Low
sector 65,flat,2.55,3.0,3.0,1650.06,1,1,Low
sector 67a,flat,1.6,3.0,3.0,1346.0,0,0,Medium
sector 95,flat,0.4,2.0,2.0,571.0,0,0,Low
sector 99a,flat,0.31,2.0,2.0,583.0,0,0,Medium
sector 33,flat,1.5,2.0,2.0,1539.0,0,0,Medium
sector 99a,flat,0.59,2.0,2.0,1133.0,0,0,Medium
sector 71,flat,1.25,3.0,4.0,1577.0,1,1,Medium
sector 69,flat,1.37,3.0,3.0,1392.0,0,0,Medium
sector 89,flat,1.2,3.0,3.0,1423.0,0,1,Low
sector 107,flat,0.75,2.0,2.0,1201.0,0,0,High
sector 85,flat,1.05,2.0,2.0,97.0,0,0,Low
sector 104,flat,1.5,2.0,2.0,1403.0,0,0,Low
sector 37d,flat,1.5,3.0,3.0,1686.0,0,0,Low
sector 39,flat,1.5,4.0,3.0,2611.0,1,0,Low
sector 38,house,1.4,2.0,8.0,62.0,0,0,Low
sushant lok,house,4.7,3.0,3.0,2160.0,1,0,Low
sector 69,flat,1.43,3.0,3.0,1455.0,0,0,Medium
sector 95,flat,0.32,2.0,2.0,610.0,0,0,Medium
sector 54,flat,4.86,3.0,4.0,1875.0,1,0,Low
sector 17,house,3.5,2.0,5.0,1440.0,0,0,Low
sector 79,flat,1.72,3.0,4.0,2050.0,0,0,Low
sector 14,house,6.46,5.0,5.0,3420.0,1,1,Low
sector 67a,flat,2.0,3.0,3.0,1346.0,0,0,Low
sector 85,flat,1.05,2.0,2.0,1484.0,0,0,Low
sector 61,flat,2.2,3.0,3.0,1811.0,0,0,Low
sector 102,flat,2.35,3.0,3.0,2351.0,1,1,High
sector 88a,flat,1.75,3.0,3.0,1306.0,0,0,Medium
sector 69,flat,1.2,2.0,3.0,1222.0,0,0,High
sector 60,flat,3.75,4.0,4.0,2650.0,1,0,Low
sector 62,flat,2.45,2.0,2.0,1200.0,0,1,High
sector 102,flat,1.41,2.0,2.0,1238.0,0,0,Low
sector 90,flat,0.85,3.0,4.0,1679.0,1,0,Medium
sector 110,flat,1.4,3.0,3.0,1550.0,0,0,Medium
sector 50,flat,1.88,3.0,3.0,1790.0,0,0,High
sector 106,flat,1.1,3.0,4.0,1186.0,1,0,High
sector 33,house,9.5,6.0,6.0,4914.0,0,0,Low
sector 81,flat,0.89,2.0,2.0,1194.0,0,0,Low
sector 113,flat,1.75,2.0,2.0,1424.0,0,1,Medium
sector 36a,flat,2.2,2.0,2.0,1338.0,0,0,Low
sector 109,flat,2.2,3.0,4.0,1860.0,1,0,High
sector 37d,flat,1.1,3.0,3.0,1990.0,0,0,Medium
sector 85,flat,1.58,3.0,4.0,2227.0,1,0,High
sector 37c,flat,1.22,3.0,4.0,1665.0,0,0,Medium
sohna road,flat,1.3,3.0,3.0,1509.0,0,0,Low
sector 104,flat,1.3,3.0,2.0,1303.0,0,1,Low
sector 81,flat,2.26,3.0,4.0,1900.0,1,0,High
sector 4,house,0.4,1.0,1.0,450.0,0,0,Low
sector 37d,flat,0.8,2.0,2.0,860.0,0,0,Low
sector 50,house,7.0,3.0,2.0,2160.0,0,0,Low
sector 54,flat,1.69,3.0,3.0,1991.0,1,0,Medium
sector 2,house,4.99,4.0,4.0,2430.0,1,0,Low
sector 69,flat,1.65,3.0,3.0,1578.0,0,0,Medium
sector 92,flat,0.85,3.0,2.0,1261.0,0,0,Low
sector 67,flat,3.4,3.0,4.0,2123.0,1,0,Medium
sector 6,house,0.5,3.0,3.0,600.0,0,0,Low
sector 54,house,25.0,4.0,4.0,9000.0,1,1,Low
sector 104,flat,1.8,2.0,3.0,1538.0,1,0,Low
gwal pahari,flat,1.38,3.0,3.0,1294.0,0,0,High
sector 74,flat,1.4,2.0,2.0,1289.0,0,0,High
sector 67,house,5.46,4.0,5.0,2259.0,0,1,Medium
sector 2,flat,0.35,2.0,2.0,800.0,0,0,Low
sector 49,flat,2.1,3.0,3.0,1604.0,0,0,Medium
sector 3,house,0.75,4.0,2.0,1170.0,0,0,Low
sector 93,flat,0.36,2.0,2.0,603.0,0,0,Low
sector 67a,house,1.83,4.0,4.0,2700.0,0,0,Medium
sector 81,flat,0.65,2.0,2.0,985.0,0,0,Medium
sector 107,flat,0.28,2.0,2.0,543.0,0,0,Low
sector 79,flat,1.25,3.0,3.0,1212.0,0,1,High
sector 76,flat,1.92,3.0,3.0,1628.0,0,0,Medium
sector 36,flat,0.41,2.0,2.0,654.0,0,0,Low
sector 88a,flat,2.1,4.0,4.0,1745.0,1,1,Medium
sector 113,flat,1.75,2.0,2.0,1430.0,0,1,Medium
sector 90,flat,0.4,2.0,2.0,575.0,0,0,Low
sector 86,flat,1.3,2.0,3.0,944.0,0,1,Low
sector 103,flat,0.8,2.0,2.0,1361.0,0,0,Low
sector 67a,flat,0.7,2.0,2.0,657.0,0,0,Low
sector 69,flat,1.4,3.0,3.0,1419.0,0,0,High
sector 95,flat,0.45,2.0,2.0,632.0,0,0,Low
sushant lok,house,2.45,4.0,4.0,540.0,1,1,Medium
sohna road,flat,0.79,3.0,2.0,978.0,0,0,Medium
sector 37d,flat,0.6,2.0,2.0,625.0,0,0,Low
sohna road road,flat,1.5,2.0,2.0,1361.0,0,0,Low
sector 62,flat,2.1,2.0,2.0,1365.0,1,0,Medium
dlf phase,flat,8.0,5.0,5.0,5778.0,1,1,Low
sector 89,flat,1.1,2.0,2.0,1226.0,0,0,Medium
sector 108,flat,1.6,3.0,4.0,1500.0,1,0,Medium
sector 72,flat,1.9,3.0,3.0,1787.0,1,0,Low
dlf phase,flat,2.0,3.0,3.0,1240.0,0,0,Medium
sector 65,flat,2.25,2.0,2.0,1592.0,0,0,Low
sector 49,flat,2.09,3.0,3.0,1633.0,0,0,Low
sector 90,flat,0.65,2.0,2.0,1222.0,0,1,High
sector 70,flat,1.63,3.0,5.0,1527.0,1,0,Low
sector 102,flat,1.2,2.0,2.0,1073.0,0,0,Low
sector 90,flat,1.17,3.0,3.0,1630.0,0,0,Medium
sector 109,flat,1.72,3.0,4.0,1797.0,1,0,High
sector 49,flat,2.9,4.0,4.0,2157.0,1,0,Medium
sector 91,flat,1.4,3.0,3.0,1700.0,0,0,Medium
sector 37d,flat,1.77,4.0,3.0,2025.0,1,1,Low
sector 85,flat,1.18,2.0,2.0,1700.0,0,1,High
mehrauli gurgaon,flat,4.26,4.0,4.0,3250.0,0,0,Low
dlf phase,flat,3.8,3.0,3.0,2450.0,1,0,Medium
sector 84,flat,0.39,2.0,2.0,549.0,0,0,Low
sector 61,flat,2.2,3.0,3.0,1778.0,0,0,Low
sohna road,flat,0.9,3.0,3.0,1599.0,0,0,Medium
sector 72,flat,1.9,3.0,3.0,1975.0,0,0,Low
sector 2,house,5.0,6.0,6.0,3611.0,0,0,Low
sector 107,flat,1.3,3.0,3.0,1547.0,0,0,Medium
sector 60,flat,3.05,3.0,3.0,2300.0,1,0,High
dlf phase,house,5.8,5.0,5.0,1800.0,1,1,Medium
c block,house,5.75,4.0,4.0,1935.0,1,0,Low
sector 86,flat,1.54,3.0,3.0,1780.0,1,0,High
sector 92,flat,0.65,3.0,3.0,1571.0,0,0,Low
sector 99,flat,1.15,2.0,2.0,1235.0,0,0,Medium
sector 50,house,10.45,4.0,5.0,4000.0,1,1,Medium
sector 26,house,4.6,4.0,4.0,3771.0,0,0,Low
sector 79,flat,1.3,2.0,2.0,1330.0,0,1,Medium
sector 73,flat,1.0,2.0,2.0,1444.0,0,0,Low
sohna road,flat,0.4,2.0,2.0,582.0,0,0,Low
sector 103,flat,0.89,2.0,3.0,1257.0,1,0,Medium
sector 71,flat,0.55,2.0,2.0,600.0,0,0,Low
sector 67a,flat,0.56,2.0,2.0,778.0,0,0,Low
sector 103,house,3.25,4.0,3.0,4000.0,0,0,Medium
sector 7,house,0.45,3.0,2.0,1000.0,0,0,Low
sector 108,flat,2.28,4.0,5.0,2515.0,0,0,Medium
sector 2,flat,0.6,1.0,1.0,665.0,0,0,Medium
sector 85,flat,1.25,3.0,4.0,1616.0,1,0,Low
sector 83,flat,1.8,3.0,3.0,1549.0,1,0,Medium
sector 79,flat,1.95,3.0,4.0,1659.0,1,0,Low
sector 37c,flat,0.6,2.0,2.0,1180.0,0,1,Medium
