sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score
sector 65,flat,m3m heights,2.78,15200.0,1828.95,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,44.0,,Undefined,1828.0,,,0,0,0,0,0,0,56
sohna road,flat,raheja maheshwara,0.48,4367.0,1099.15,Super Built up area 1099(102.1 sq.m.),2.0,2.0,2,11.0,,Under Construction,1099.0,,,0,0,0,0,0,0,45
sector 102,flat,shapoorji pallonji joyville gurugram,1.1,12181.0,903.05,Super Built up area 903(83.89 sq.m.),2.0,2.0,1,8.0,,Under Construction,903.0,,,0,0,0,0,0,0,105
sector 113,flat,tata gurgaon gateway,2.45,10786.0,2271.46,Super Built up area 2225(206.71 sq.m.),3.0,3.0,3,8.0,North,Relatively New,2225.0,,,0,0,0,0,0,0,110
sector 99a,flat,pareena coban residences,1.08,6625.0,1630.19,Super Built up area 1997(185.53 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1630 sq.ft. (151.43 sq.m.),3.0,5.0,3,2.0,West,Relatively New,1997.0,1750.0,1630.0,1,0,1,0,0,0,49
sector 81,flat,bestech park view ananda,0.88,8042.0,1094.26,Super Built up area 1360(126.35 sq.m.)Carpet area: 1094 sq.ft. (101.64 sq.m.),2.0,2.0,3,8.0,West,Relatively New,1360.0,,1094.0,0,0,0,0,1,2,95
sector 85,flat,ss,1.98,8222.0,2408.17,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,3,6.0,West,Relatively New,2408.0,2300.0,2200.0,0,0,0,0,0,0,42
sushant lok,house,ansal sushant lok,10.5,27911.0,3762.0,Plot area 418(349.5 sq.m.),4.0,4.0,2.0,,North-East,Old Property,,3762.0,,0,0,1,0,0,0,59
sector 22,flat,ambience creacions,4.1,28101.0,1459.02,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3.0,3.0,3+,2.0,North-East,New Property,2781.0,,1459.0,0,0,0,0,0,1,119
sector 60,flat,ireo skyon,2.15,23344.0,921.01,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2.0,3.0,2,5.0,East,Relatively New,1524.0,1250.0,921.0,0,0,1,0,0,2,49
sector 80,flat,godrej frontier,1.1,5705.0,1928.13,Super Built up area 1928(179.12 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1391 sq.ft. (129.23 sq.m.),3.0,3.0,3,8.0,North-West,Moderately Old,1928.0,1580.0,1391.0,0,0,1,0,0,0,111
sector 104,flat,ats triumph,2.0,8733.0,2290.16,Super Built up area 2290(212.75 sq.m.),3.0,4.0,3+,4.0,,Relatively New,2290.0,,,0,0,1,0,0,0,60
sector 54,flat,dlf park place,4.85,25866.0,1875.05,Super Built up area 1875(174.19 sq.m.),3.0,4.0,3+,25.0,South-East,Relatively New,1875.0,,,0,0,1,0,0,2,26
sohna road,flat,trisara our homes 3,0.4,6561.0,609.66,Carpet area: 602 (55.93 sq.m.),2.0,2.0,1,0.0,South,New Property,,,602.0,0,0,0,0,0,2,90
sector 53,flat,parsvnath exotica,4.8,14680.0,3269.75,Built Up area: 2895 (268.95 sq.m.),3.0,4.0,3+,12.0,North-West,New Property,,2895.0,,0,0,0,0,0,0,69
dlf phase,house,independent,3.5,32407.0,1080.0,Plot area 120(100.34 sq.m.),5.0,4.0,3.0,3.0,North-West,Old Property,,1080.0,,0,0,0,0,0,0,15
sector 37c,flat,imperia the esfera,0.86,5449.0,1578.27,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2.0,3.0,3,9.0,South-East,Relatively New,1578.0,,1310.0,1,0,0,0,1,0,49
sector 50,house,unitech south city,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),9.0,9.0,3+,3.0,East,Relatively New,,2160.0,,1,1,1,0,1,1,128
sector 67,house,ireo victory valley,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),6.0,7.0,3+,51.0,North-East,Moderately Old,,3600.0,,0,1,1,0,1,2,49
sector 50,house,independent,11.58,35741.0,3240.0,Plot area 360(301.01 sq.m.),5.0,5.0,3.0,2.0,,Moderately Old,,3240.0,,0,0,1,0,0,0,20
sector 108,flat,experion the heartsong,1.2,6825.0,1758.24,Super Built up area 1758(163.32 sq.m.)Built Up area: 1275.53 sq.ft. (118.5 sq.m.)Carpet area: 974.68 sq.ft. (90.55 sq.m.),3.0,3.0,3+,10.0,South,Relatively New,1758.0,1275.0,974.0,0,0,0,0,1,0,93
sector 110,flat,indiabulls enigma,4.0,9851.0,4060.5,Built Up area: 3350 (311.23 sq.m.),4.0,4.0,3,17.0,,New Property,,3350.0,,0,0,0,0,0,0,59
sector 69,flat,tulip violet,1.75,9459.0,1850.09,Carpet area: 1850 (171.87 sq.m.),3.0,4.0,2,0.0,East,Relatively New,,,1850.0,0,0,0,0,0,2,174
mehrauli gurgaon,flat,essel towers,2.75,12500.0,2200.0,Built Up area: 2200 (204.39 sq.m.),4.0,5.0,3+,8.0,East,Old Property,,2200.0,,0,0,1,0,1,1,128
sector 37d,flat,ramprastha the edge towers,0.75,5319.0,1410.04,Built Up area: 1410 (130.99 sq.m.),2.0,2.0,3,19.0,,Moderately Old,,1410.0,,0,0,0,0,0,0,63
sector 86,flat,dlf the skycourt,1.5,9740.0,1540.04,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),3.0,3.0,3+,18.0,West,Relatively New,1929.0,1780.0,1540.0,0,0,0,0,1,0,174
sector 95,flat,ramsons kshitij,0.24,53.0,45283.02,Carpet area: 45966 (4270.38 sq.m.),2.0,2.0,1,10.0,North-West,Relatively New,,,45966.0,1,0,0,0,0,0,33
sector 103,flat,signature global grand iva,0.23,6527.0,352.38,Carpet area: 360 (33.45 sq.m.),1.0,1.0,1,4.0,North-East,Relatively New,,,360.0,0,0,0,0,0,0,23
sector 83,flat,emaar palm gardens,1.4,8139.0,1720.11,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3.0,3.0,3,2.0,North-West,Relatively New,1720.0,,1095.0,0,1,1,1,1,2,174
sector 85,flat,ss the leaf,2.7,7754.0,3482.07,Super Built up area 3482(323.49 sq.m.),4.0,4.0,3+,23.0,,New Property,3482.0,,,0,0,0,0,0,0,21
sector 56,flat,the lions cghs,2.0,8333.0,2400.1,Super Built up area 2400(222.97 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4.0,4.0,3,8.0,West,Relatively New,2400.0,,2100.0,1,0,0,0,0,2,49
sector 48,house,vipul tatvam villa,7.25,27971.0,2592.0,Plot area 288(240.8 sq.m.),3.0,4.0,2.0,2.0,South,Moderately Old,,2592.0,,0,1,1,1,1,2,115
sector 33,house,unitech uniworld resorts,8.0,17778.0,4499.9,Built Up area: 500 (418.06 sq.m.),6.0,5.0,3+,4.0,,Undefined,,500.0,,0,0,0,0,0,0,0
sector 22,flat,ambience creacions,3.99,12912.0,3090.15,Super Built up area 3090(287.07 sq.m.),3.0,5.0,3+,3.0,,New Property,3090.0,,,0,0,1,0,0,1,102
sector 72,flat,tata primanti,4.0,16032.0,2495.01,Super Built up area 2905(269.88 sq.m.)Carpet area: 2495 sq.ft. (231.79 sq.m.),4.0,5.0,3+,22.0,West,Relatively New,2905.0,,2495.0,0,0,1,0,0,2,174
sector 33,flat,unitech the residences,1.1,9909.0,1110.1,Super Built up area 1110(103.12 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,3,9.0,East,Moderately Old,1110.0,1100.0,1000.0,0,0,0,0,0,2,44
sector 89,flat,smart world gems,1.2,8433.0,1422.98,Built Up area: 1423 (132.2 sq.m.)Carpet area: 920 sq.ft. (85.47 sq.m.),3.0,3.0,2,2.0,East,Undefined,,1423.0,920.0,0,0,0,0,0,0,45
sector 13,house,independent,0.9,11464.0,785.1,Plot area 785(72.93 sq.m.),5.0,4.0,3.0,3.0,North-West,Moderately Old,,785.0,,1,1,1,0,1,0,0
sector 56,house,ansal sushant lok 2,3.4,22222.0,1530.0,Plot area 170(142.14 sq.m.),6.0,6.0,3+,2.0,West,Moderately Old,,1530.0,,0,0,0,0,0,2,29
sector 69,flat,tulip violet,1.4,8928.0,1568.1,Super Built up area 1568(145.67 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3.0,3.0,1,12.0,North,Relatively New,1568.0,,1200.0,0,1,0,0,0,0,174
sector 61,flat,smart world orchard,2.41,14785.0,1630.03,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3.0,3.0,3,2.0,East,New Property,,1630.0,1625.0,0,0,0,0,0,0,61
sector 91,flat,tarc maceo,1.75,11121.0,1573.6,Super Built up area 2724(253.07 sq.m.)Carpet area: 1573.59 sq.ft. (146.19 sq.m.),4.0,3.0,3+,8.0,South,Relatively New,2724.0,,1573.0,0,1,1,1,1,0,128
sector 66,house,emaar mgf marbella,9.0,21251.0,4235.1,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4.0,4.0,3+,,South-West,Relatively New,,5200.0,4235.0,0,1,1,1,0,2,114
sohna road,flat,silverglades the melia,0.78,5777.0,1350.18,Super Built up area 1350(125.42 sq.m.),2.0,2.0,3,9.0,,Under Construction,1350.0,,,0,0,0,0,1,0,72
sector 109,flat,ats kocoon,2.95,10350.0,2850.24,Built Up area: 3150 (292.64 sq.m.)Carpet area: 2850 sq.ft. (264.77 sq.m.),4.0,4.0,3+,7.0,South-East,Relatively New,,3150.0,2850.0,0,0,1,1,0,2,158
sector 12,flat,511 sarahah tower,0.6,8333.0,720.03,Carpet area: 720 (66.89 sq.m.),2.0,2.0,1,0.0,,New Property,,,720.0,0,1,0,0,0,1,0
sector 40,house,independent,2.1,23333.0,900.0,Plot area 900(83.61 sq.m.),3.0,3.0,2.0,3.0,North,Moderately Old,,900.0,,1,0,0,0,0,2,35
sector 81,flat,bestech park view ananda,1.15,6927.0,1660.17,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3.0,2.0,3+,12.0,East,Relatively New,1660.0,,1082.0,0,0,0,0,0,0,101
sector 50,house,unitech aspen greens,7.0,32407.0,2160.0,Plot area 240(200.67 sq.m.),4.0,4.0,2.0,2.0,East,Old Property,,2160.0,,0,0,1,0,0,0,29
sector 61,flat,smart world orchard,2.2,14202.0,1549.08,Carpet area: 1549 (143.91 sq.m.),3.0,3.0,2,4.0,North,New Property,,,1549.0,0,0,0,0,0,0,152
sector 38,house,huda plot sector 38,4.3,245398.0,175.2,Plot area 163(15.14 sq.m.)Built Up area: 145 sq.ft. (13.47 sq.m.),13.0,13.0,3+,5.0,North-West,Relatively New,,145.0,,0,0,0,0,0,1,7
sector 65,flat,emaar emerald hills,1.95,13928.0,1400.06,Carpet area: 1400 (130.06 sq.m.),3.0,3.0,3+,1.0,North-East,New Property,,,1400.0,0,0,0,1,0,2,117
sector 67,flat,m3m one key resiments,0.8,13115.0,609.99,Built Up area: 610 (56.67 sq.m.),1.0,1.0,0,0.0,,Undefined,,610.0,,0,0,0,0,0,0,0
sector 90,flat,dlf regal gardens,1.23,7052.0,1744.19,Super Built up area 1744(162.02 sq.m.),3.0,3.0,2,19.0,North,Relatively New,1744.0,,,1,0,0,0,0,0,6
sector 68,flat,m3m ikonic,1.78,9128.0,1950.04,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3.0,3.0,3+,27.0,South,Relatively New,1950.0,1845.0,1530.0,0,0,0,0,0,2,126
sector 103,flat,landmark the residency,0.9,6666.0,1350.14,Super Built up area 1350(125.42 sq.m.),2.0,2.0,2,1.0,South-West,Relatively New,1350.0,,,0,0,0,0,0,0,44
sector 85,flat,ss the leaf,1.25,7179.0,1741.19,Super Built up area 1741(161.74 sq.m.)Built Up area: 1730 sq.ft. (160.72 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),2.0,2.0,3,10.0,South-East,Relatively New,1741.0,1730.0,1720.0,0,0,0,0,0,0,49
sector 4,flat,shri ram apartments,0.36,3789.0,950.12,Carpet area: 950 (88.26 sq.m.),2.0,2.0,1,4.0,,Relatively New,,,950.0,0,0,0,0,0,0,0
sector 7,house,huda flats,2.3,17037.0,1350.0,Plot area 150(125.42 sq.m.),5.0,3.0,3+,3.0,North-East,Old Property,,1350.0,,0,1,1,0,1,0,27
sushant lok,house,ansal sushant lok plots,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6.0,6.0,3.0,2.0,South-West,Relatively New,,1935.0,,1,0,1,0,0,2,49
sector 102,flat,emaar imperial gardens,1.98,9900.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3.0,3.0,3+,9.0,North,Relatively New,,,2000.0,0,0,1,0,0,2,72
sector 109,flat,ats kocoon,1.7,9742.0,1745.02,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3,22.0,East,Relatively New,1745.0,1550.0,,0,0,0,0,0,0,74
sector 108,flat,sobha city,2.6,15195.0,1711.09,Super Built up area 1711(158.96 sq.m.),3.0,3.0,2,8.0,East,Relatively New,1711.0,,,0,0,0,0,0,0,99
sector 70,flat,shree vardhman victoria,1.9,9743.0,1950.12,Super Built up area 1950(181.16 sq.m.),3.0,3.0,3,10.0,North-East,New Property,1950.0,,,1,1,1,1,0,0,36
sector 65,flat,m3m skycity,2.85,15590.0,1828.09,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,43.0,South,Under Construction,1828.0,,,0,0,0,0,0,0,115
sector 108,flat,raheja vedaanta,1.0,4854.0,2060.16,Built Up area: 2060 (191.38 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),2.0,2.0,2,0.0,North,Undefined,,2060.0,1890.0,0,0,0,0,0,0,0
sector 109,flat,ats tourmaline,1.5,8571.0,1750.09,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),3.0,3.0,3+,7.0,North-East,Relatively New,1750.0,1466.0,,0,0,0,0,0,0,165
sector 50,house,independent,13.2,27155.0,4861.0,Built Up area: 4861 (451.6 sq.m.),6.0,6.0,0,2.0,,Undefined,,4861.0,,0,0,0,0,0,0,0
sector 104,flat,ats triumph,2.55,13076.0,1950.14,Super Built up area 3150(292.64 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4.0,4.0,3+,21.0,East,Relatively New,3150.0,,1950.0,0,0,1,0,0,0,150
sector 86,flat,dlf the skycourt,1.72,8916.0,1929.12,Super Built up area 1929(179.21 sq.m.),3.0,3.0,1,8.0,North,Relatively New,1929.0,,,1,0,0,0,0,2,49
sector 9a,flat,jammu and kashmir bank employees cghs,0.95,6129.0,1550.01,Super Built up area 1550(144 sq.m.),3.0,3.0,2,5.0,West,Moderately Old,1550.0,,,1,0,0,0,0,0,30
sector 83,flat,vatika gurgaon,1.42,8875.0,1600.0,Super Built up area 2390(222.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4.0,4.0,3,7.0,South-West,Relatively New,2390.0,2000.0,1600.0,0,0,1,0,1,0,103
sector 106,flat,paras dews,1.35,8940.0,1510.07,Carpet area: 1510 (140.28 sq.m.),4.0,3.0,3,19.0,,Old Property,,,1510.0,0,0,1,0,0,0,112
sector 40,house,independent,2.15,23889.0,900.0,Plot area 100(83.61 sq.m.),3.0,3.0,3.0,3.0,,Moderately Old,,900.0,,0,1,0,1,1,0,45
sector 110,flat,city shri ram apartments 1,0.22,3666.0,600.11,Super Built up area 600(55.74 sq.m.),2.0,1.0,1,1.0,,Relatively New,600.0,,,0,0,0,0,0,0,0
sector 90,flat,dlf new town heights,1.8,6600.0,2727.27,Super Built up area 2727(253.35 sq.m.),4.0,4.0,3+,23.0,,Moderately Old,2727.0,,,0,0,0,0,0,0,67
sector 62,flat,senate court,0.9,14084.0,639.02,Built Up area: 639 (59.37 sq.m.),1.0,1.0,0,0.0,,Undefined,,639.0,,0,0,0,0,0,0,0
sector 33,flat,godrej nature plus,1.62,13974.0,1159.3,Built Up area: 129.42 Carpet area: 107.7 sq.m.,3.0,4.0,3+,3.0,North,New Property,,129.0,107.0,0,0,1,0,0,0,100
new palam,house,independent,0.95,10555.0,900.0,Plot area 900(83.61 sq.m.),3.0,2.0,2.0,3.0,South-East,Old Property,,900.0,,0,0,0,1,0,0,16
sector 68,flat,pareena mi casa,1.0,8163.0,1225.04,Carpet area: 1225 (113.81 sq.m.),2.0,2.0,2,16.0,,New Property,,,1225.0,0,0,1,0,0,0,65
sector 85,flat,ss the leaf,1.05,6163.0,1703.72,Super Built up area 1671(155.24 sq.m.),2.0,2.0,3+,7.0,West,Relatively New,1671.0,,,0,0,0,1,0,0,144
