sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 79,flat,godrej,1.29,8206.0,1572.02,Super Built up area 1572(146.04 sq.m.),2.0,2.0,3,4.0,,New Property,1572.0,,,0,0,0,0,0,0,0,786.01
sector 89,flat,m3m soulitude,1.28,8827.0,1450.1,Carpet area: 1450 (134.71 sq.m.),3.0,3.0,2,4.0,,Under Construction,,,1450.0,0,0,0,0,1,0,114,483.3666666666666
sector 104,flat,ats triumph,1.8,7860.0,2290.08,Carpet area: 2290 (212.75 sq.m.),3.0,4.0,3,14.0,,New Property,,,2290.0,0,0,0,0,0,0,60,763.36
sector 92,flat,bestech park view sanskruti,1.6,7547.0,2120.05,Super Built up area 2120(196.95 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,3.0,3,10.0,East,Relatively New,2120.0,,1450.0,0,0,1,0,0,2,60,706.6833333333334
sector 102,flat,conscient heritage max,2.15,9306.0,2310.34,Super Built up area 2149(199.65 sq.m.),3.0,4.0,3,13.0,South,Relatively New,2149.0,,,0,0,1,0,1,0,101,770.1133333333333
sector 63,flat,adani brahma samsara vilasa,3.25,29545.0,1100.02,Built Up area: 2700 (250.84 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,3.0,3,4.0,North-East,New Property,,2700.0,1100.0,1,0,0,0,0,0,41,366.67333333333335
sector 86,flat,ansal heights 86,1.3,4666.0,2786.11,Super Built up area 2786(258.83 sq.m.),4.0,6.0,2,11.0,East,New Property,2786.0,,,1,0,1,0,0,0,86,696.5275
sector 92,flat,apartment,0.75,4687.0,1600.17,Carpet area: 1600 (148.64 sq.m.),3.0,4.0,3,2.0,East,Moderately Old,,,1600.0,0,0,0,0,1,0,113,533.39
sector 107,flat,m3m woodshire,1.4,5929.0,2361.28,Super Built up area 2361(219.34 sq.m.),3.0,4.0,0,1.0,East,New Property,2361.0,,,0,0,0,0,0,0,67,787.0933333333334
sector 70,flat,shree vardhman victoria,1.75,8205.0,2132.85,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,5.0,3,7.0,,New Property,1950.0,,1161.0,0,1,1,0,0,0,37,710.9499999999999
sector 68,flat,m3m ikonic,1.8,9230.0,1950.16,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3.0,3.0,3+,18.0,North-East,Relatively New,1950.0,1845.0,1530.0,0,0,0,0,0,2,126,650.0533333333334
sector 65,flat,m3m skycity,3.0,16411.0,1828.04,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,17.0,East,Under Construction,1828.0,,,0,0,0,0,0,0,99,609.3466666666667
sector 52,flat,pgr shree kripaluji apartment,1.4,6086.0,2300.36,Carpet area: 2300 (213.68 sq.m.),3.0,3.0,3+,8.0,North-East,Relatively New,,,2300.0,0,0,0,0,0,2,80,766.7866666666667
sector 78,flat,umang monsoon breeze,0.88,4746.0,1854.19,Super Built up area 1854(172.24 sq.m.)Built Up area: 1668 sq.ft. (154.96 sq.m.)Carpet area: 1501 sq.ft. (139.45 sq.m.),3.0,4.0,3,8.0,North-West,Moderately Old,1854.0,1668.0,1501.0,0,1,1,0,0,0,111,618.0633333333334
sector 102,flat,shapoorji pallonji joyville gurugram,2.12,16960.0,1250.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3.0,3.0,3,9.0,,Relatively New,,1852.0,1250.0,0,0,0,0,0,0,72,416.6666666666667
sector 52,house,raj villas,8.0,25543.0,3132.0,Carpet area: 348 (290.97 sq.m.),6.0,5.0,3+,4.0,East,Undefined,,,348.0,0,0,0,0,0,0,0,522.0
sector 51,flat,housing board colony,0.3,4630.0,648.0,Carpet area: 72 (6.69 sq.m.),1.0,1.0,0,0.0,,Moderately Old,,,72.0,0,0,0,0,1,0,15,648.0
sector 112,flat,experion windchants,2.8,11470.0,2441.15,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2.0,3.0,2,9.0,South-East,Relatively New,2441.0,1939.0,1800.0,0,0,1,0,1,0,137,1220.575
sector 65,flat,m3m heights,2.78,15200.0,1828.95,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,44.0,,Undefined,1828.0,,,0,0,0,0,0,0,56,609.65
sohna road,flat,raheja maheshwara,0.48,4367.0,1099.15,Super Built up area 1099(102.1 sq.m.),2.0,2.0,2,11.0,,Under Construction,1099.0,,,0,0,0,0,0,0,45,549.575
sector 102,flat,shapoorji pallonji joyville gurugram,1.1,12181.0,903.05,Super Built up area 903(83.89 sq.m.),2.0,2.0,1,8.0,,Under Construction,903.0,,,0,0,0,0,0,0,105,451.525
sector 113,flat,tata gurgaon gateway,2.45,10786.0,2271.46,Super Built up area 2225(206.71 sq.m.),3.0,3.0,3,8.0,North,Relatively New,2225.0,,,0,0,0,0,0,0,110,757.1533333333333
sector 99a,flat,pareena coban residences,1.08,6625.0,1630.19,Super Built up area 1997(185.53 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1630 sq.ft. (151.43 sq.m.),3.0,5.0,3,2.0,West,Relatively New,1997.0,1750.0,1630.0,1,0,1,0,0,0,49,543.3966666666666
sector 81,flat,bestech park view ananda,0.88,8042.0,1094.26,Super Built up area 1360(126.35 sq.m.)Carpet area: 1094 sq.ft. (101.64 sq.m.),2.0,2.0,3,8.0,West,Relatively New,1360.0,,1094.0,0,0,0,0,1,2,95,547.13
sector 85,flat,ss,1.98,8222.0,2408.17,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,3,6.0,West,Relatively New,2408.0,2300.0,2200.0,0,0,0,0,0,0,42,802.7233333333334
sushant lok,house,ansal sushant lok,10.5,27911.0,3762.0,Plot area 418(349.5 sq.m.),4.0,4.0,2.0,,North-East,Old Property,,3762.0,,0,0,1,0,0,0,59,940.5
sector 22,flat,ambience creacions,4.1,28101.0,1459.02,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3.0,3.0,3+,2.0,North-East,New Property,2781.0,,1459.0,0,0,0,0,0,1,119,486.34
sector 60,flat,ireo skyon,2.15,23344.0,921.01,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2.0,3.0,2,5.0,East,Relatively New,1524.0,1250.0,921.0,0,0,1,0,0,2,49,460.505
