sector,property_type,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 86,flat,1.59,1929.14,3.0,3.0,3,17.0,Relatively New,1700.0,1,0,0,0,0,2,165,643.0466666666667
sector 95,flat,0.56,1363.86,2.0,2.0,2,10.0,New Property,1364.0,0,0,0,0,0,0,0,681.93
sector 78,flat,0.8,1654.26,3.0,2.0,2,7.0,Moderately Old,1472.0,0,1,0,0,0,0,102,551.42
sector 49,flat,2.35,2033.05,3.0,3.0,3,15.0,Relatively New,2030.0,1,0,0,0,0,0,49,677.6833333333333
sector 104,flat,2.52,3150.0,4.0,4.0,3+,19.0,Relatively New,2800.0,0,0,1,1,0,2,156,787.5
sector 85,flat,1.38,2120.14,3.0,4.0,2,6.0,Relatively New,1616.0,0,0,1,0,0,0,76,706.7133333333333
sector 95,flat,0.45,514.05,2.0,2.0,2,14.0,New Property,571.0,0,0,0,0,0,0,24,257.025
sector 48,house,7.65,4000.0,4.0,4.0,3.0,2.0,Moderately Old,4000.0,1,0,1,0,1,0,49,1000.0
sector 104,flat,2.25,2150.02,3.0,4.0,3+,4.0,Relatively New,2303.0,0,0,1,0,0,2,159,716.6733333333333
sector 91,flat,2.0,2870.68,4.0,4.0,3+,16.0,Moderately Old,2468.0,0,1,1,0,1,0,65,717.67
sector 82a,flat,0.75,1000.0,2.0,2.0,2,1.0,Relatively New,1000.0,0,0,0,0,0,0,0,500.0
sector 102,flat,0.48,532.03,2.0,2.0,1,5.0,Relatively New,582.0,0,0,0,1,0,0,159,266.015
sector 108,flat,1.68,2003.1,3.0,3.0,3+,4.0,Relatively New,1338.0,0,0,1,0,1,2,86,667.6999999999999
sector 33,flat,2.2,2100.04,3.0,3.0,3,12.0,New Property,1900.0,0,0,1,0,0,2,49,700.0133333333333
sector 93,house,1.3,1152.1,3.0,2.0,1.0,3.0,Relatively New,1152.0,0,0,0,0,0,0,50,384.0333333333333
sector 65,flat,2.9,1975.07,4.0,4.0,3+,4.0,Relatively New,1975.07,0,0,1,0,1,2,152,493.7675
sector 66,flat,3.5,2201.12,3.0,3.0,2,4.0,Relatively New,2200.0,0,0,0,0,1,0,89,733.7066666666666
sector 69,flat,1.29,1568.01,3.0,3.0,1,12.0,Relatively New,1419.0,0,1,0,0,0,2,86,522.67
sector 14,house,6.5,3150.0,4.0,4.0,3+,2.0,Moderately Old,3150.0,0,0,0,0,0,0,0,787.5
sohna road,flat,0.35,500.0,2.0,2.0,2,5.0,Relatively New,556.0,0,0,0,0,0,0,30,250.0
sector 43,flat,3.25,3200.08,4.0,4.0,3+,12.0,Moderately Old,3115.0,0,1,0,0,0,2,119,800.02
sector 2,house,0.4,900.1,3.0,4.0,2.0,2.0,Moderately Old,900.0,0,0,0,0,0,0,36,300.03333333333336
sector 83,flat,1.15,1755.19,3.0,2.0,3,15.0,Relatively New,1588.0,0,0,0,0,0,0,37,585.0633333333334
sector 92,flat,0.95,1897.34,4.0,5.0,3+,4.0,Moderately Old,1717.0,0,0,1,0,0,0,37,474.335
sector 49,flat,1.72,2200.05,3.0,3.0,2,2.0,Old Property,2444.0,0,0,0,0,0,2,144,733.35
sector 108,flat,2.95,2003.12,3.0,4.0,2,12.0,Relatively New,2003.12,0,0,0,0,0,0,49,667.7066666666666
sector 67a,flat,1.85,1941.03,3.0,4.0,3,4.0,New Property,1941.0,0,0,0,1,1,2,150,647.01
sector 28,flat,1.0,1100.11,1.0,1.0,1,1.0,Old Property,995.0,0,1,0,0,1,2,80,1100.11
sector 65,flat,2.65,1433.05,2.0,2.0,3,4.0,New Property,1433.05,0,0,0,0,1,0,38,716.525
sector 108,flat,0.87,734.49,2.0,3.0,3,2.0,Relatively New,978.0,0,0,1,0,0,2,123,367.245
sector 92,flat,0.6,1319.84,2.0,2.0,3,11.0,Under Construction,1195.0,1,0,0,0,0,0,23,659.92
manesar,flat,0.75,2445.39,3.0,4.0,3,3.0,Relatively New,2717.0,0,0,1,0,0,0,21,815.13
sector 89,flat,1.16,1423.14,3.0,3.0,2,3.0,Under Construction,1581.0,0,0,0,0,1,0,68,474.38000000000005
sector 65,flat,2.4,1650.05,3.0,3.0,3,3.0,Relatively New,1600.0,0,0,1,0,1,2,49,550.0166666666667
sector 70,flat,1.23,1350.02,2.0,2.0,3,1.0,Relatively New,1222.0,0,0,0,0,1,0,43,675.01
sector 79,flat,1.3,1490.14,3.0,3.0,3,19.0,Relatively New,1176.0,0,0,0,1,0,2,102,496.71333333333337
c block,house,14.0,3510.0,9.0,9.0,3+,4.0,Moderately Old,3510.0,0,0,1,0,0,0,7,390.0
sector 65,flat,2.15,1433.05,2.0,2.0,3+,28.0,Relatively New,1433.0,0,0,0,0,0,0,48,716.525
sector 109,house,10.0,3600.0,4.0,5.0,3+,2.0,New Property,3600.0,1,1,1,0,1,2,49,900.0
sector 92,flat,0.5,640.04,3.0,3.0,1,0.0,Relatively New,579.0,0,0,0,0,0,0,0,213.34666666666664
sector 61,flat,1.47,1150.05,2.0,2.0,2,4.0,Under Construction,1278.0,0,0,0,0,1,0,31,575.025
sushant lok,house,3.3,1242.0,1.0,1.0,0,2.0,Under Construction,1242.0,0,0,0,0,0,0,0,1242.0
sector 81,flat,0.39,600.0,2.0,2.0,2,6.0,Relatively New,667.0,0,0,0,0,0,0,37,300.0
sector 66,flat,1.5,1337.02,2.0,3.0,3,1.0,Relatively New,1330.0,1,0,1,0,0,2,79,668.51
dlf phase,house,2.6,1080.0,4.0,4.0,3+,4.0,Relatively New,1080.0,0,1,0,1,1,1,0,270.0
dlf phase,house,6.5,1935.0,3.0,9.0,3+,3.0,Old Property,1935.0,0,1,1,1,1,2,142,645.0
sector 78,flat,1.2,1197.84,1.0,2.0,2,32.0,Under Construction,822.0,0,0,0,0,0,0,39,1197.84
sector 37c,flat,0.55,669.02,1.0,1.0,0,5.0,Relatively New,669.0,0,0,0,0,0,0,0,669.02
sector 113,flat,1.83,1310.04,2.0,2.0,0,7.0,Relatively New,1310.0,0,0,0,0,0,0,68,655.02
sector 70,flat,5.0,4800.31,6.0,7.0,3+,0.0,Relatively New,5333.0,0,0,1,0,1,0,119,800.0516666666667
manesar,house,2.0,1337.4,3.0,1.0,0,3.0,Moderately Old,1337.0,0,0,0,0,0,0,16,445.8
sector 108,flat,2.0,2779.32,4.0,4.0,3+,10.0,Relatively New,2500.0,0,1,1,0,0,2,174,694.83
sector 79,flat,1.0,1503.08,2.0,2.0,2,4.0,Relatively New,1300.0,0,0,0,0,1,0,49,751.54
sector 69,flat,0.62,482.0,2.0,2.0,1,4.0,Relatively New,536.0,0,0,0,0,0,2,108,241.0
sector 82,flat,0.63,1127.01,2.0,2.0,3+,2.0,Relatively New,1026.0,0,0,0,0,1,0,110,563.505
sector 2,house,1.15,594.0,3.0,3.0,2.0,2.0,Old Property,594.0,0,0,0,0,0,2,32,198.0
sector 12,flat,0.6,1060.07,3.0,3.0,2,3.0,Relatively New,1178.0,0,0,0,0,0,0,44,353.3566666666666
sector 90,flat,1.75,3059.44,4.0,4.0,3+,17.0,Relatively New,2468.0,0,1,1,0,0,0,88,764.86
sector 37c,flat,1.43,1990.26,3.0,3.0,3+,2.0,Relatively New,1845.0,1,0,1,0,1,0,49,663.42
sohna road,flat,0.21,483.98,1.0,1.0,0,2.0,Relatively New,484.0,0,0,0,0,0,0,0,483.98
sector 108,flat,2.4,1381.06,2.0,2.0,2,14.0,New Property,1250.0,0,0,0,0,0,2,113,690.53
sector 48,house,7.69,3195.0,4.0,5.0,3.0,2.0,Moderately Old,3195.0,0,1,1,1,1,2,110,798.75
sector 77,flat,1.25,1450.12,3.0,4.0,3,1.0,Relatively New,1611.0,0,0,1,0,0,2,104,483.3733333333333
sector 113,flat,2.48,1760.11,3.0,3.0,3+,8.0,New Property,1980.0,0,0,1,0,0,0,79,586.7033333333333
dlf phase,house,10.5,3618.0,4.0,4.0,2.0,2.0,Old Property,3618.0,0,1,1,0,0,2,91,904.5
sector 22,flat,4.3,3090.19,3.0,4.0,3+,6.0,Relatively New,2600.0,1,0,1,0,0,1,120,1030.0633333333333
sector 61,flat,2.6,1765.94,3.0,3.0,2,2.0,New Property,1765.94,0,0,0,0,0,0,47,588.6466666666666
sector 66,house,8.8,2114.6,4.0,4.0,3+,3.0,Relatively New,2114.6,0,1,1,1,0,0,107,528.65
sector 92,flat,0.75,1556.02,3.0,2.0,2,16.0,Relatively New,1556.0,0,0,0,0,0,0,0,518.6733333333333
sohna road,flat,0.73,1264.07,2.0,2.0,3,5.0,Relatively New,978.0,0,1,0,0,0,0,33,632.035
sector 79,flat,1.3,1351.07,2.0,4.0,2,3.0,Relatively New,1223.0,0,0,0,0,0,0,53,675.535
sector 36a,flat,0.75,1000.0,2.0,2.0,2,5.0,Relatively New,856.0,0,0,0,0,0,0,26,500.0
sector 33,flat,1.1,1380.0,2.0,2.0,2,14.0,Under Construction,1533.0,0,0,0,0,0,0,56,690.0
sector 84,flat,1.5,1963.09,3.0,3.0,3,20.0,Relatively New,1833.0,0,0,1,0,0,2,37,654.3633333333333
sector 90,flat,1.6,2364.07,4.0,4.0,3+,10.0,Relatively New,2139.0,0,1,1,0,0,0,88,591.0175
sector 33,flat,1.31,819.67,2.0,2.0,2,4.0,Under Construction,84.0,0,0,0,0,0,0,92,409.835
sector 2,flat,1.51,1918.92,3.0,4.0,3+,7.0,Moderately Old,1738.0,0,0,1,0,0,2,84,639.64
sector 85,flat,1.09,1636.39,2.0,2.0,3,5.0,Relatively New,1475.0,0,0,0,0,0,0,49,818.195
sector 7,house,1.16,992.0,2.0,4.0,2.0,3.0,Moderately Old,1102.0,1,0,0,0,0,0,39,496.0
south city,flat,2.75,1640.03,3.0,3.0,2,14.0,Old Property,1640.03,0,0,0,0,0,1,79,546.6766666666666
sector 37c,flat,1.5,2358.12,3.0,4.0,3+,14.0,New Property,2134.0,1,0,1,0,0,0,83,786.04
sector 82a,flat,1.85,1799.09,3.0,3.0,3+,2.0,Relatively New,1668.0,0,0,0,0,0,2,44,599.6966666666666
sohna road,flat,0.88,791.01,2.0,2.0,2,13.0,Relatively New,1016.0,0,0,0,0,0,1,127,395.505
sector 89,flat,1.55,1550.0,3.0,2.0,3,6.0,Moderately Old,1403.0,0,0,0,1,0,2,111,516.6666666666666
sector 110,flat,4.49,3880.06,5.0,5.0,3+,4.0,Relatively New,3511.0,0,0,1,0,0,0,165,776.012
sector 84,flat,0.88,1825.35,3.0,3.0,3,16.0,Relatively New,1652.0,0,1,0,0,0,0,67,608.4499999999999
sector 85,flat,1.93,2390.09,3.0,4.0,3,7.0,Relatively New,2400.0,0,0,1,0,0,0,174,796.6966666666667
sector 67,flat,2.65,2047.12,3.0,3.0,3,0.0,Relatively New,2047.12,1,0,0,0,0,2,174,682.3733333333333
sector 66,house,11.0,3240.0,5.0,6.0,3+,2.0,New Property,3240.0,0,1,1,1,1,2,153,648.0
sector 113,flat,6.0,6565.27,5.0,6.0,3+,24.0,Moderately Old,7294.0,0,0,0,0,0,0,117,1313.054
sohna road,flat,0.27,576.06,2.0,2.0,2,1.0,New Property,640.0,0,0,0,0,0,0,35,288.03
sector 11,flat,0.36,699.03,2.0,2.0,0,15.0,New Property,699.0,0,0,0,0,0,0,0,349.515
dlf phase,flat,2.09,1430.04,3.0,3.0,2,11.0,Old Property,1294.0,0,0,0,0,0,2,79,476.68
sector 109,flat,1.3,1880.24,3.0,2.0,3,16.0,Moderately Old,1701.0,0,0,0,0,0,0,134,626.7466666666667
sector 3,house,0.4,450.0,2.0,4.0,3+,4.0,New Property,450.0,0,1,0,0,0,0,7,225.0
sector 65,flat,2.5,1650.06,3.0,3.0,3,3.0,Relatively New,1493.0,0,0,1,0,1,0,15,550.02
gwal pahari,flat,0.95,1600.13,3.0,3.0,3,13.0,Old Property,1778.0,0,0,0,0,0,0,37,533.3766666666667
sector 4,house,0.5,450.0,2.0,2.0,2.0,2.0,New Property,450.0,1,1,1,0,1,0,14,225.0
sector 3,house,0.5,900.1,2.0,1.0,2.0,1.0,Old Property,900.0,0,0,0,1,0,0,16,450.05
sector 70a,flat,2.4,2150.15,3.0,3.0,3,11.0,Relatively New,1946.0,0,0,1,0,0,0,108,716.7166666666667
sector 2,house,6.0,3000.0,4.0,4.0,1.0,2.0,Relatively New,3000.0,0,0,0,0,0,0,0,750.0
sector 52,house,5.5,2700.0,9.0,9.0,3+,3.0,Moderately Old,2700.0,1,1,1,0,0,2,26,300.0
sector 99,flat,0.92,1365.19,2.0,2.0,3+,22.0,Under Construction,1235.0,0,0,0,0,0,0,56,682.595
sector 104,flat,1.16,1816.19,3.0,4.0,3+,8.0,Relatively New,2018.0,0,0,1,0,0,2,96,605.3966666666666
sector 70a,flat,1.66,1976.19,3.0,3.0,3+,8.0,New Property,1900.0,0,0,1,0,0,0,132,658.73
sector 28,flat,7.0,3150.03,4.0,3.0,2,10.0,Moderately Old,2488.0,0,0,1,0,0,0,31,787.5075
sector 89,flat,0.86,1103.13,2.0,3.0,2,4.0,New Property,1226.0,0,1,1,0,1,2,72,551.565
sector 103,flat,1.35,1790.21,3.0,3.0,3+,3.0,Relatively New,1620.0,0,0,0,0,1,2,168,596.7366666666667
dlf phase,house,10.0,2700.0,5.0,5.0,3+,3.0,Moderately Old,9500.0,0,1,1,0,0,1,29,540.0
sector 92,flat,0.7,1345.12,2.0,2.0,3,5.0,Under Construction,1217.0,0,0,0,0,1,0,0,672.56
c block,house,1.85,540.0,2.0,8.0,3+,5.0,Relatively New,60.0,0,0,0,0,0,0,53,270.0
sector 85,flat,1.2,1640.02,2.0,2.0,3,12.0,Relatively New,1484.0,0,0,0,0,0,2,157,820.01
sector 82,house,6.5,3240.0,4.0,3.0,0,2.0,Relatively New,3240.0,0,0,0,0,0,0,0,810.0
dlf phase,house,18.0,4518.0,5.0,4.0,3+,4.0,Moderately Old,4518.0,0,1,1,1,1,2,113,903.6
sector 47,house,4.6,1728.0,2.0,6.0,3+,4.0,Moderately Old,1728.0,0,0,0,0,0,1,51,864.0
sector 95,flat,0.8,900.09,2.0,2.0,3,9.0,New Property,713.0,0,0,0,0,1,0,67,450.045
a block,house,2.55,1935.0,3.0,3.0,2.0,3.0,Relatively New,1935.0,0,0,0,0,0,2,60,645.0
sector 102,flat,1.85,2025.18,3.0,3.0,3+,0.0,Relatively New,2250.0,0,0,1,0,0,2,95,675.0600000000001
sector 65,flat,6.15,3363.04,3.0,3.0,3,23.0,Moderately Old,3027.0,0,0,1,0,1,2,60,1121.013333333333
sushant lok,house,1.95,1935.1,3.0,4.0,3+,4.0,New Property,1935.0,0,0,1,0,0,2,78,645.0333333333333
sector 60,flat,2.5,1550.0,2.0,3.0,2,4.0,Relatively New,1403.0,0,0,0,0,1,0,100,775.0
sector 90,flat,0.8,1350.21,2.0,3.0,2,0.0,Relatively New,1350.0,0,0,0,0,0,0,60,675.105
sector 109,flat,1.7,964.98,1.0,1.0,2,9.0,Relatively New,965.0,0,0,0,0,0,0,0,964.98
sector 90,flat,0.65,1350.23,2.0,2.0,3,3.0,Relatively New,1222.0,0,0,0,0,1,0,106,675.115
sector 107,flat,1.4,2361.28,3.0,4.0,3+,6.0,Relatively New,2137.0,0,0,1,0,0,0,117,787.0933333333334
sector 86,flat,0.42,495.11,2.0,2.0,1,2.0,New Property,557.0,1,1,1,0,1,0,84,247.555
sector 104,flat,0.98,1647.06,3.0,3.0,3,12.0,Relatively New,1490.0,1,0,0,0,0,0,79,549.02
sector 50,house,11.0,2700.0,4.0,4.0,3+,2.0,Moderately Old,2700.0,0,0,1,0,0,2,88,675.0
sector 85,flat,1.1,882.05,2.0,2.0,3,12.0,Relatively New,1173.0,0,0,0,0,1,0,75,441.025
sector 33,flat,2.0,1789.07,3.0,3.0,3+,8.0,New Property,1619.0,0,0,0,0,0,0,23,596.3566666666667
sector 102,flat,1.35,1359.11,2.0,2.0,2,9.0,Relatively New,1230.0,0,0,0,0,0,0,100,679.555
sector 79,flat,2.69,2152.0,3.0,4.0,3+,3.0,New Property,2152.0,0,0,1,0,0,0,49,717.3333333333334
sector 78,flat,0.6,1625.14,2.0,2.0,0,7.0,Under Construction,1625.0,0,0,0,0,0,0,0,812.57
sector 39,house,1.6,892.0,1.0,1.0,2.0,2.0,Old Property,892.0,0,0,0,0,0,0,40,892.0
sector 108,flat,1.55,2003.1,3.0,3.0,3+,7.0,Relatively New,1750.0,0,1,1,0,0,2,174,667.6999999999999
sector 102,flat,2.61,2598.05,3.0,3.0,3,14.0,Relatively New,2200.0,0,0,1,0,1,0,21,866.0166666666668
south city,house,16.0,4499.9,6.0,7.0,3.0,3.0,Old Property,4500.0,0,1,1,1,0,2,113,749.9833333333332
sector 81,flat,3.46,2872.08,4.0,4.0,3+,10.0,New Property,2599.0,0,0,1,0,0,1,161,718.02
sector 56,flat,2.0,2300.17,4.0,4.0,2,4.0,Under Construction,2081.0,0,0,0,0,0,0,0,575.0425
sector 3,house,0.85,1000.0,1.0,1.0,0,1.0,Old Property,1000.0,0,0,0,0,0,0,0,1000.0
sector 56,house,4.0,1503.0,4.0,4.0,3+,2.0,Relatively New,1503.0,0,0,0,0,0,2,24,375.75
sector 89,flat,1.33,783.04,3.0,3.0,3,4.0,Under Construction,1423.0,0,0,0,0,1,0,125,261.0133333333333
sector 65,flat,1.75,1395.09,3.0,3.0,3,10.0,Relatively New,1081.0,0,0,1,0,0,2,124,465.03
sohna road,flat,0.28,392.05,1.0,1.0,1,4.0,New Property,443.0,0,0,0,0,0,1,26,392.05
sector 2,house,2.95,1845.0,4.0,4.0,3+,2.0,Old Property,1845.0,0,0,0,0,0,0,27,461.25
sector 62,flat,7.56,4200.0,4.0,4.0,3+,23.0,Relatively New,4200.0,0,1,1,0,0,2,87,1050.0
sector 68,flat,1.1,1219.51,2.0,2.0,3,13.0,New Property,1244.0,0,0,0,0,0,0,106,609.755
sector 38,house,3.9,1836.0,6.0,6.0,3+,3.0,Moderately Old,1836.0,0,1,1,0,1,0,32,306.0
dlf phase,house,19.0,4500.0,6.0,8.0,3+,3.0,Moderately Old,4500.0,0,1,1,1,1,2,103,750.0
dlf phase,house,10.55,2700.0,5.0,6.0,3+,3.0,Moderately Old,2700.0,0,1,1,1,1,0,131,540.0
sector 79,flat,1.4,1400.0,2.0,2.0,2,4.0,Relatively New,1556.0,0,0,1,1,1,1,83,700.0
sector 86,flat,0.5,520.02,2.0,2.0,1,10.0,Relatively New,578.0,0,0,0,0,0,0,15,260.01
new gurgaon,flat,0.67,1200.07,2.0,2.0,2,3.0,Relatively New,1086.0,0,0,0,0,0,0,23,600.035
sector 79,flat,1.18,1383.03,2.0,2.0,3,7.0,Relatively New,1252.0,0,0,0,0,0,0,158,691.515
sector 58,flat,4.85,2864.06,4.0,5.0,3,23.0,Relatively New,3182.0,1,1,1,0,1,2,49,716.015
sector 109,house,5.65,5400.0,4.0,4.0,3+,2.0,New Property,5400.0,1,0,1,0,0,2,44,1350.0
sector 66,flat,2.8,1950.13,3.0,3.0,2,12.0,New Property,1950.13,0,1,1,0,1,1,69,650.0433333333334
sector 84,flat,0.27,339.03,1.0,1.0,1,13.0,Relatively New,387.0,0,0,0,0,0,1,45,339.03
sohna road,flat,0.25,481.79,2.0,2.0,1,0.0,Relatively New,534.0,0,1,0,0,0,0,90,240.895
sector 104,flat,1.25,1844.2,3.0,4.0,3+,12.0,Relatively New,1669.0,1,0,1,0,0,0,79,614.7333333333333
sector 102,flat,2.0,1852.02,3.0,3.0,3,9.0,Relatively New,1676.0,0,0,0,0,0,0,49,617.34
sector 81,flat,0.48,568.05,2.0,2.0,1,7.0,Relatively New,613.0,0,0,0,0,0,2,70,284.025
sector 3,house,0.6,1000.0,1.0,1.0,0,1.0,Old Property,1000.0,0,0,0,0,0,0,0,1000.0
sector 95,flat,0.41,661.93,2.0,2.0,2,12.0,New Property,670.0,0,0,0,0,1,2,90,330.965
sector 83,flat,0.6,1050.05,2.0,2.0,2,1.0,Relatively New,990.0,0,0,0,0,0,2,167,525.025
sector 99a,flat,0.32,579.61,2.0,2.0,1,2.0,New Property,577.0,0,0,0,0,0,0,43,289.805
sector 36a,flat,0.45,500.0,1.0,1.0,1,9.0,Relatively New,452.0,0,0,0,0,0,0,0,500.0
sector 79,flat,1.25,1490.05,3.0,3.0,3+,16.0,Relatively New,1656.0,0,0,0,0,0,2,49,496.68333333333334
sector 83,flat,0.87,1245.17,2.0,2.0,2,3.0,Moderately Old,1127.0,0,0,0,0,0,0,35,622.585
sushant lok,house,11.5,6500.1,7.0,8.0,3+,3.0,Old Property,9000.0,0,1,1,1,0,2,31,928.5857142857144
sector 54,house,3.75,1440.0,4.0,4.0,3.0,3.0,Moderately Old,1440.0,0,0,1,0,0,2,13,360.0
sector 33,flat,1.65,1996.13,3.0,3.0,3,2.0,Under Construction,2218.0,0,0,1,0,0,0,37,665.3766666666667
sector 81,flat,3.0,3185.05,4.0,5.0,2,6.0,Relatively New,2882.0,0,0,1,0,0,2,110,796.2625
sector 92,flat,0.7,1571.97,3.0,3.0,0,7.0,Relatively New,1572.0,0,0,0,0,0,0,0,523.99
sector 52,flat,1.5,1640.06,4.0,4.0,3,3.0,Old Property,1484.0,0,0,0,0,0,0,65,410.015
sector 3,house,0.5,450.0,2.0,3.0,3.0,3.0,Moderately Old,450.0,0,0,0,0,0,0,0,225.0
sector 103,flat,1.01,1250.0,2.0,2.0,3,5.0,Relatively New,1338.0,0,0,0,1,0,2,165,625.0
sector 89,flat,0.85,1103.04,2.0,2.0,2,2.0,Under Construction,1226.0,0,0,0,0,1,0,45,551.52
sector 85,flat,1.99,2298.19,3.0,4.0,3+,17.0,Relatively New,2398.0,0,0,1,0,0,2,174,766.0633333333334
sector 104,flat,0.22,301.29,1.0,2.0,2,2.0,New Property,334.0,0,0,0,0,0,0,60,301.29
sector 86,flat,1.93,2285.11,3.0,4.0,3,12.0,Relatively New,2068.0,0,0,1,0,0,0,72,761.7033333333334
sector 14,house,7.5,4518.1,3.0,3.0,2.0,1.0,Old Property,4518.0,0,1,1,0,1,2,27,1506.0333333333335
sector 1,flat,0.75,2266.55,3.0,3.0,3+,3.0,Moderately Old,1914.0,0,0,1,0,0,0,31,755.5166666666668
sector 68,flat,0.92,1245.09,2.0,2.0,3,5.0,Under Construction,1127.0,1,0,0,0,0,0,50,622.545
sector 88a,flat,0.95,1307.1,2.0,2.0,2,6.0,Relatively New,1452.0,0,0,0,0,0,0,79,653.55
sector 69,flat,1.92,1250.0,4.0,4.0,2,0.0,Relatively New,1389.0,0,0,0,0,0,0,174,312.5
sector 104,flat,0.26,333.03,1.0,1.0,2,0.0,Relatively New,301.0,0,0,0,0,0,0,91,333.03
sector 15,house,7.2,3240.0,3.0,3.0,2.0,1.0,Old Property,3231.0,0,0,0,1,0,0,67,1080.0
sector 2,house,0.4,525.0,2.0,2.0,1.0,1.0,Relatively New,583.0,0,0,0,0,0,0,0,262.5
sector 82,flat,1.0,1688.33,2.0,2.0,2,11.0,Relatively New,1299.0,0,0,0,0,1,2,90,844.165
sector 70a,flat,1.2,1420.12,2.0,2.0,3,6.0,Moderately Old,1285.0,0,0,0,0,0,0,42,710.06
sector 104,flat,2.78,3150.14,4.0,4.0,3+,11.0,Relatively New,2851.0,0,0,1,0,0,0,110,787.535
sector 33,flat,1.7,1799.13,3.0,3.0,3+,5.0,New Property,1697.0,0,0,0,0,0,2,44,599.71
sector 2,flat,0.6,735.02,1.0,1.0,1,5.0,Moderately Old,665.0,0,0,0,0,0,2,88,735.02
sector 81,flat,2.4,2103.05,3.0,4.0,3+,19.0,Relatively New,1903.0,0,0,1,0,0,1,174,701.0166666666668
sector 90,flat,1.25,1200.08,3.0,3.0,3,18.0,Moderately Old,1437.0,0,0,1,0,0,0,100,400.02666666666664
sector 107,flat,1.2,1943.01,3.0,3.0,3,7.0,Relatively New,1750.0,0,0,0,0,0,2,49,647.67
sector 39,flat,2.0,3200.0,5.0,4.0,3,9.0,Old Property,3556.0,0,0,1,0,0,1,49,640.0
sector 49,flat,0.87,450.01,1.0,1.0,1,2.0,Relatively New,500.0,0,0,0,0,0,0,22,450.01
sector 86,flat,1.55,2356.34,4.0,4.0,3+,12.0,Moderately Old,2038.0,0,1,1,0,0,2,120,589.085
sector 72,flat,5.0,4500.05,4.0,4.0,3+,2.0,Moderately Old,4500.0,1,1,1,0,1,2,174,1125.0125
sector 81,flat,0.82,949.18,2.0,2.0,3,2.0,Relatively New,955.0,0,0,0,0,0,0,53,474.59
sector 89,flat,1.25,1423.04,3.0,3.0,3,2.0,Under Construction,1288.0,0,1,0,0,0,0,12,474.34666666666664
sector 70,flat,1.15,1350.08,2.0,2.0,3,8.0,Relatively New,1222.0,1,0,0,0,1,0,49,675.04
sector 26,house,5.8,4518.2,4.0,4.0,3+,4.0,Old Property,4518.0,0,0,0,0,0,0,38,1129.55
sector 90,flat,0.7,1300.15,2.0,2.0,3,13.0,New Property,1176.0,0,0,0,0,1,0,15,650.075
sector 4,flat,1.05,1350.14,3.0,2.0,2,2.0,New Property,1500.0,0,0,0,0,0,2,0,450.0466666666667
sector 57,house,3.75,1620.0,3.0,4.0,3.0,2.0,Moderately Old,1620.0,0,0,1,1,1,2,38,540.0
sector 4,house,3.2,2250.0,3.0,3.0,2.0,2.0,Old Property,2250.0,0,0,0,0,0,0,13,750.0
sector 37c,flat,0.9,1537.15,3.0,3.0,3,9.0,Moderately Old,1537.0,0,0,0,0,0,2,94,512.3833333333333
sohna road,flat,0.35,554.24,2.0,2.0,2,14.0,New Property,616.0,0,0,0,0,0,0,53,277.12
sector 65,flat,2.85,1975.05,4.0,4.0,3,3.0,Relatively New,2194.0,0,0,1,0,1,0,28,493.7625
sector 50,flat,6.75,3395.03,4.0,4.0,0,10.0,Moderately Old,3395.0,0,0,0,0,0,0,0,848.7575
sector 56,flat,2.45,3000.24,4.0,4.0,3+,1.0,Relatively New,2900.0,1,0,0,0,0,2,118,750.06
sector 103,flat,2.4,2875.28,4.0,6.0,3+,15.0,Relatively New,2456.0,0,0,1,0,0,0,156,718.82
dlf phase,house,18.9,4518.0,6.0,8.0,2.0,3.0,Relatively New,4518.0,0,1,1,1,1,2,120,753.0
sector 65,flat,2.29,1650.09,3.0,4.0,3+,2.0,Relatively New,1833.0,0,0,1,0,1,1,174,550.03
sector 3,flat,1.2,1444.04,2.0,2.0,3,0.0,Under Construction,1307.0,0,0,0,0,0,0,60,722.02
sector 103,flat,1.15,1325.04,2.0,2.0,3,10.0,Relatively New,1080.0,0,0,0,0,1,2,174,662.52
sector 81,flat,3.45,2792.17,4.0,4.0,3+,25.0,Moderately Old,2527.0,0,0,1,0,0,0,67,698.0425
sector 84,flat,0.85,1270.17,2.0,2.0,3,6.0,Relatively New,1158.0,0,0,0,0,0,2,28,635.085
sector 7,house,1.95,1440.0,2.0,2.0,2.0,2.0,Old Property,1440.0,0,0,0,0,0,0,0,720.0
sector 113,flat,2.35,2217.19,3.0,3.0,3,11.0,New Property,2210.0,0,0,1,0,0,0,174,739.0633333333334
sohna road,flat,0.39,950.06,2.0,2.0,2,3.0,Relatively New,720.0,0,0,0,0,0,0,0,475.03
sector 89,flat,1.85,2150.16,3.0,3.0,3+,12.0,New Property,1946.0,0,0,1,0,0,0,37,716.7199999999999
sector 37d,flat,1.1,1350.02,3.0,3.0,1,2.0,Under Construction,1500.0,0,1,0,0,0,0,30,450.00666666666666
sector 89,flat,1.0,1107.05,2.0,2.0,2,1.0,Under Construction,1230.0,0,0,0,0,1,0,38,553.525
sohna road road,house,0.49,1150.2,2.0,2.0,1.0,3.0,New Property,1150.0,0,0,0,0,0,0,0,575.1
