sector,property_type,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 7,house,1.2,1072.0,2.0,4.0,2.0,3.0,Old Property,1072.0,0,0,0,0,0,0,0,536.0
sohna road,flat,0.68,824.04,2.0,2.0,2,3.0,New Property,916.0,0,0,0,0,0,0,113,412.02
sector 67a,flat,1.85,2300.14,4.0,4.0,0,4.0,New Property,2556.0,0,0,0,0,0,0,0,575.035
sector 92,flat,0.5,1000.0,2.0,2.0,3,2.0,Relatively New,1000.0,0,0,0,0,0,0,0,500.0
sector 54,flat,5.7,1381.99,3.0,3.0,3,1.0,Moderately Old,1381.99,0,0,0,0,0,0,46,460.66333333333336
sector 99a,flat,1.38,1930.07,4.0,5.0,3+,1.0,Relatively New,2150.0,1,0,1,0,0,0,49,482.5175
sector 107,flat,1.15,1534.15,2.0,2.0,3,0.0,Relatively New,1281.0,0,0,0,0,1,0,29,767.075
sector 108,flat,1.02,1283.02,2.0,3.0,3,4.0,Relatively New,1283.0,0,0,0,0,1,0,112,641.51
sector 109,flat,2.22,2095.13,3.0,3.0,3,20.0,Relatively New,1896.0,1,0,1,0,0,0,79,698.3766666666667
sector 67,flat,2.35,1935.11,3.0,4.0,3+,14.0,Moderately Old,1751.0,0,0,1,0,0,2,156,645.0366666666666
sector 84,flat,1.15,1534.15,2.0,2.0,3,8.0,Relatively New,1361.0,0,0,0,0,1,2,37,767.075
sector 92,house,1.8,2360.0,4.0,5.0,0,13.0,Relatively New,2360.0,0,0,0,0,0,0,0,590.0
sector 70a,house,2.1,5400.0,3.0,2.0,1.0,3.0,New Property,667.0,0,0,0,0,0,0,0,1800.0
sector 49,flat,0.94,671.0,1.0,2.0,2,2.0,Moderately Old,746.0,0,0,0,0,0,0,0,671.0
sector 1a,flat,1.5,2359.23,4.0,5.0,3+,10.0,New Property,2135.0,0,0,1,0,0,0,32,589.8075
sector 107,flat,0.28,497.95,2.0,2.0,2,14.0,Relatively New,543.0,0,0,0,0,0,0,38,248.975
sector 90,flat,1.29,1816.13,3.0,3.0,3+,12.0,Relatively New,1817.0,0,0,1,0,0,0,152,605.3766666666667
gwal pahari,flat,5.9,5350.02,4.0,4.0,3+,19.0,New Property,4842.0,0,1,1,1,1,2,160,1337.505
sector 77,flat,1.64,1950.06,4.0,3.0,3,9.0,Relatively New,1765.0,0,0,1,0,0,0,102,487.515
sector 82,flat,0.89,1005.65,2.0,2.0,2,14.0,Relatively New,1202.0,0,0,0,0,1,2,129,502.825
sohna road road,house,0.5,675.0,2.0,4.0,3.0,3.0,Relatively New,725.0,0,1,0,0,0,0,22,337.5
sector 67a,flat,1.9,2143.74,4.0,4.0,3,3.0,New Property,1991.0,0,0,0,0,0,2,62,535.935
sector 92,flat,1.68,1520.09,3.0,4.0,3+,15.0,Relatively New,1804.0,0,0,1,0,0,2,174,506.69666666666666
sector 79,flat,2.0,2366.02,3.0,4.0,3+,2.0,Relatively New,2629.0,0,0,1,0,0,2,156,788.6733333333333
sector 33,flat,2.96,2134.1,4.0,4.0,3,1.0,New Property,2371.0,0,0,1,0,0,2,24,533.525
sector 104,flat,1.75,1689.03,3.0,3.0,3,2.0,Under Construction,1529.0,0,0,0,0,0,0,30,563.01
sector 90,flat,1.88,2727.01,4.0,4.0,3+,20.0,Relatively New,2726.0,0,1,1,0,0,0,145,681.7525
