sector,property_type,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sector 103,flat,2.0,2.0,1089.0,No,No,High
sector 92,flat,2.0,2.0,1109.0,No,No,Medium
sushant lok,house,4.0,4.0,1728.0,Yes,Yes,Low
sector 93,flat,2.0,2.0,597.0,No,No,Low
sector 45,flat,4.0,4.0,3194.0,Yes,No,Low
sector 95,flat,3.0,2.0,716.0,No,No,Medium
c block,house,1.0,1.0,1242.0,No,No,Low
sector 67a,flat,3.0,3.0,1346.0,No,No,Medium
sector 102,flat,3.0,3.0,1300.0,Yes,No,Low
sector 66,flat,2.0,2.0,1048.0,No,No,Low
sector 72,flat,4.0,4.0,2509.0,Yes,No,Low
sector 111,flat,3.0,4.0,2104.0,Yes,No,Low
sector 45,house,5.0,8.0,4500.0,Yes,Yes,High
sector 33,flat,3.0,3.0,1619.0,No,No,Medium
sector 107,flat,2.0,2.0,496.0,No,No,Medium
sector 9a,flat,3.0,3.0,1433.0,No,No,Low
sector 33,flat,2.0,2.0,1275.0,No,No,Low
sector 69,flat,3.0,2.0,1326.0,No,No,Medium
sohna road,flat,2.0,2.0,699.0,No,No,Medium
surat nagar,house,2.0,2.0,459.0,No,No,Low
sector 56,flat,3.0,3.0,1800.0,Yes,No,High
sector 61,flat,2.0,2.0,1389.0,No,No,Low
sector 56,flat,1.0,1.0,475.0,No,No,Low
sector 82,flat,2.0,2.0,1175.0,No,No,Medium
sector 57,flat,5.0,6.0,5010.0,Yes,No,High
sector 62,flat,3.0,3.0,2876.0,Yes,No,Low
sector 10a,flat,2.0,2.0,1086.0,No,No,Medium
sector 71,flat,2.0,2.0,1086.0,No,No,Low
sector 79,flat,2.0,2.0,1700.0,No,Yes,Low
sector 60,flat,2.0,3.0,1520.0,No,No,High
sohna road,flat,2.0,2.0,1148.0,No,No,Medium
sector 71,flat,1.0,1.0,294.0,No,No,Low
sector 3,flat,2.0,2.0,1056.0,No,No,Medium
sector 49,house,4.0,4.0,2088.0,Yes,No,Low
sector 7,house,4.0,4.0,345.0,No,Yes,Low
dlf phase,house,4.0,2.0,540.0,No,No,Low
sector 77,flat,2.0,2.0,1126.0,No,No,Medium
sohna road,flat,2.0,2.0,1045.0,No,No,Low
sector 11,flat,3.0,2.0,1403.0,No,No,Low
sector 33,flat,3.0,2.0,1512.0,No,No,Low
sector 39,flat,3.0,3.0,2400.0,No,No,Low
sector 85,flat,2.0,2.0,1604.0,No,No,Low
sector 77,flat,3.0,4.0,1829.0,Yes,No,Low
dlf phase,flat,3.0,4.0,3700.0,Yes,Yes,Medium
sector 56,flat,1.0,1.0,672.0,No,No,Medium
dlf phase,house,5.0,5.0,3240.0,Yes,Yes,Medium
sector 108,flat,3.0,3.0,2072.04,No,No,Medium
sector 85,flat,3.0,4.0,2026.0,Yes,No,High
sector 86,flat,3.0,3.0,1715.0,Yes,No,Low
sector 81,flat,3.0,3.0,1750.0,Yes,No,Low
sector 54,flat,3.0,3.0,2100.0,Yes,No,Medium
sector 37c,flat,2.0,2.0,833.0,No,No,Low
sector 109,house,7.0,5.0,4500.0,Yes,Yes,Low
sector 70a,flat,2.0,2.0,1312.0,No,No,Medium
sohna road,flat,1.0,1.0,477.0,No,No,Low
sector 77,flat,3.0,4.0,1310.0,Yes,Yes,Low
sector 49,house,3.0,3.0,1900.0,No,No,Medium
sector 61,flat,2.0,2.0,1278.0,No,Yes,Medium
sector 45,house,6.0,7.0,4500.0,Yes,Yes,Medium
sector 112,flat,3.0,5.0,3405.0,Yes,No,Low
sector 93,flat,3.0,4.0,1350.0,No,No,Medium
sector 113,flat,2.0,2.0,1080.0,No,No,Medium
sector 83,flat,3.0,3.0,1570.0,No,No,Low
sushant lok,house,4.0,5.0,2700.0,Yes,No,Low
sector 60,flat,2.0,2.0,1350.0,No,No,High
sector 102,flat,3.0,3.0,1465.0,No,No,Medium
sector 86,flat,2.0,2.0,1300.0,No,No,Low
sector 3,flat,2.0,2.0,900.0,No,No,Medium
dlf phase,house,7.0,5.0,540.0,No,No,Low
sector 15,flat,3.0,3.0,1611.0,No,No,Medium
sector 81,flat,2.0,2.0,814.0,No,No,Low
sector 46,house,8.0,8.0,2385.0,No,Yes,Low
sector 6,flat,3.0,2.0,111.0,No,No,Medium
sector 92,flat,4.0,5.0,2453.0,Yes,No,Medium
sector 69,flat,3.0,3.0,1392.0,No,No,Medium
sector 83,flat,1.0,1.0,520.0,No,No,Medium
sector 90,flat,3.0,3.0,1540.0,No,Yes,High
sector 33,house,4.0,4.0,7000.0,Yes,Yes,Medium
sector 106,flat,2.0,2.0,1200.0,No,No,High
sector 82,flat,3.0,4.0,1774.0,No,No,Medium
sector 48,flat,3.0,3.0,1611.0,No,No,Medium
sector 90,flat,3.0,3.0,1603.0,No,No,Low
sector 65,flat,3.0,3.0,1081.0,No,Yes,Medium
sohna road,flat,2.0,2.0,1367.0,No,No,Medium
sector 38,flat,4.0,4.0,1954.0,No,No,Low
sector 109,house,7.0,6.0,3600.0,Yes,Yes,Medium
sector 82,flat,3.0,3.0,1800.0,No,Yes,High
sector 103,flat,3.0,3.0,1683.0,No,Yes,Low
sector 69,flat,3.0,2.0,1473.0,No,No,Medium
sector 37d,flat,2.0,2.0,1300.0,No,No,Medium
sector 92,flat,4.0,4.0,1893.0,No,No,Medium
sector 112,flat,3.0,3.0,2600.0,No,No,Low
sector 89,flat,3.0,3.0,1288.0,No,Yes,Medium
sector 63,flat,4.0,4.0,3149.99,No,No,Medium
sector 83,flat,3.0,3.0,1387.0,Yes,No,High
sector 67,flat,3.0,3.0,2047.13,No,No,Low
sector 56,flat,3.0,3.0,2400.0,Yes,No,Medium
sector 65,flat,3.0,3.0,1649.96,No,No,Low
sector 7,house,4.0,2.0,1575.0,No,No,Low
sector 67,flat,3.0,3.0,2047.08,No,No,High
sector 82a,flat,5.0,6.0,5711.0,Yes,No,Medium
sushant lok,house,4.0,4.0,1620.0,No,No,Medium
sector 1a,flat,4.0,4.0,2946.0,No,No,Low
valley view,flat,4.0,4.0,1850.0,No,No,Medium
sector 84,flat,4.0,4.0,3222.0,Yes,No,Low
sohna road,flat,2.0,2.0,567.0,No,No,Low
sector 73,house,5.0,8.0,9000.0,Yes,Yes,Medium
sohna road,flat,3.0,3.0,1344.0,No,No,High
sector 37d,flat,3.0,3.0,1711.0,No,No,Medium
dlf phase,house,6.0,7.0,4518.0,Yes,Yes,Medium
sector 53,flat,4.0,4.0,3068.0,Yes,No,Medium
sohna road,flat,2.0,2.0,534.0,No,No,Low
sector 113,flat,3.0,3.0,2006.0,Yes,No,Medium
sector 48,flat,4.0,5.0,2167.0,No,No,Low
sector 81,flat,3.0,3.0,2130.0,Yes,No,Medium
sector 67a,flat,3.0,3.0,1551.0,No,Yes,High
sector 70a,flat,2.0,2.0,1402.0,No,No,Low
sector 4,house,5.0,5.0,5067.0,Yes,Yes,Low
sector 83,flat,3.0,3.0,1618.0,No,No,Medium
sector 63a,flat,3.0,3.0,1350.05,No,No,Low
sector 30,flat,3.0,3.0,1401.0,No,No,Low
sector 37d,flat,2.0,2.0,1276.0,No,No,Medium
sector 56,flat,3.0,3.0,1910.0,No,Yes,Medium
dlf phase,flat,4.0,4.0,2333.0,Yes,No,Low
sector 81,house,4.0,4.0,5480.0,Yes,No,Medium
sector 106,flat,2.0,2.0,940.0,No,No,Low
sector 70,flat,3.0,3.0,1765.0,No,No,Low
sector 109,flat,3.0,4.0,2339.0,Yes,No,Medium
sohna road,house,2.0,3.0,1053.0,No,Yes,Low
sector 79,flat,3.0,3.0,1154.0,No,Yes,High
sector 79,flat,3.0,4.0,2031.0,Yes,No,Medium
sector 90,flat,3.0,3.0,1640.0,No,No,High
sector 95,flat,4.0,3.0,2824.0,Yes,No,Low
sector 66,flat,3.0,4.0,1850.0,Yes,No,High
sector 68,flat,2.0,2.0,982.0,No,No,Medium
sector 63a,flat,2.0,2.0,978.0,No,No,Low
sector 70,flat,3.0,5.0,1527.0,Yes,No,High
sector 104,flat,4.0,4.0,3064.0,Yes,No,High
sector 91,flat,3.0,3.0,2578.0,No,No,Low
dlf phase,house,5.0,5.0,6400.0,Yes,Yes,Medium
sector 81,flat,4.0,5.0,2577.0,Yes,No,High
sector 65,flat,3.0,3.0,1493.0,Yes,Yes,High
sector 90,flat,3.0,3.0,2144.0,Yes,No,Medium
sector 89,flat,3.0,3.0,1179.0,No,No,Low
sector 50,flat,3.0,3.0,2357.0,Yes,No,Medium
sector 39,flat,3.0,4.0,2222.0,Yes,No,Low
sector 92,flat,3.0,3.0,140.0,No,No,Low
sector 50,house,4.0,5.0,2160.0,Yes,Yes,Medium
sector 1,flat,3.0,3.0,1946.0,Yes,No,Low
sector 76,flat,3.0,4.0,2111.0,Yes,No,High
sector 102,flat,2.0,2.0,915.0,No,No,Low
sector 70,flat,3.0,3.0,2167.0,No,Yes,Medium
sector 56,flat,3.0,2.0,1585.0,No,No,Medium
sector 46,house,5.0,4.0,1836.0,No,No,Medium
sector 4,flat,2.0,2.0,833.0,No,No,Low
sector 3,house,2.0,1.0,1100.0,No,No,Low
sector 90,flat,3.0,3.0,1578.0,No,No,Low
sector 65,flat,3.0,3.0,3027.0,Yes,Yes,High
sohna road,flat,2.0,2.0,508.0,No,No,Low
sector 104,house,3.0,5.0,920.0,No,No,Medium
sector 90,flat,3.0,3.0,1650.0,No,No,Low
sector 85,flat,3.0,4.0,2225.0,No,No,Low
sector 82,flat,2.0,2.0,1176.0,No,No,Low
sector 65,flat,4.0,4.0,1975.05,Yes,Yes,Low
sector 111,flat,1.0,1.0,373.0,No,No,Medium
sector 12,house,5.0,5.0,2000.0,No,No,Low
sector 107,flat,2.0,2.0,1204.0,No,No,High
sector 90,flat,4.0,4.0,2005.0,No,No,Low
sector 37d,flat,3.0,3.0,1692.0,No,No,Low
sector 85,flat,3.0,4.0,2179.0,No,No,Low
sector 61,flat,2.0,2.0,1150.0,No,Yes,Medium
sector 67,flat,3.0,3.0,1406.0,No,No,Low
gwal pahari,flat,4.0,5.0,5249.0,Yes,Yes,Low
sohna road,flat,3.0,3.0,1780.0,No,No,Medium
sector 89,flat,1.0,1.0,430.0,No,No,Medium
sector 70,flat,3.0,4.0,1416.0,No,No,Low
sector 92,flat,2.0,2.0,905.0,No,No,Medium
sector 79,flat,2.0,2.0,1423.0,No,Yes,Low
sector 37d,flat,3.0,3.0,2191.0,No,Yes,Low
sector 86,flat,2.0,2.0,557.0,No,No,Medium
sohna road,flat,2.0,2.0,913.0,No,No,Medium
sector 81,flat,2.0,2.0,1260.0,No,No,High
sector 65,flat,3.0,3.0,2506.0,Yes,No,Low
sector 113,flat,5.0,4.0,2956.0,No,No,Low
dlf phase,house,3.0,9.0,11111.0,No,No,Low
sector 33,flat,2.0,2.0,623.0,No,No,Low
sohna road,flat,2.0,2.0,1175.0,No,Yes,Medium
sector 99a,flat,2.0,1.0,511.0,No,No,Medium
sector 88a,flat,2.0,2.0,694.0,No,No,Low
sector 109,flat,3.0,3.0,1466.0,No,No,Low
sector 79,flat,2.0,2.0,1578.0,No,No,Medium
sector 63,house,3.0,3.0,2385.0,No,No,Low
sector 92,flat,4.0,4.0,2267.0,No,No,Low
sector 85,flat,2.0,2.0,1380.0,No,No,High
sector 8,house,2.0,2.0,585.0,No,No,Low
sector 109,house,5.0,5.0,6228.0,Yes,No,Medium
sector 56,flat,3.0,3.0,1900.0,Yes,Yes,High
sector 55,flat,3.0,3.0,1700.0,No,No,Low
sector 85,flat,4.0,4.0,2600.0,Yes,Yes,Low
sector 108,flat,3.0,3.0,1460.0,No,No,Low
sector 71,flat,3.0,4.0,1631.0,Yes,No,Medium
sector 99,flat,4.0,4.0,3041.0,Yes,No,Medium
sector 46,house,6.0,6.0,1845.0,No,No,Medium
sector 7,house,2.0,2.0,126.0,No,Yes,Low
sector 81,flat,3.0,3.0,1881.0,Yes,No,Medium
sohna road,flat,3.0,2.0,1210.0,No,No,Medium
sector 107,flat,2.0,2.0,543.0,No,No,Low
sector 81,flat,3.0,3.0,1929.0,Yes,No,High
dlf phase,house,5.0,4.0,1350.0,No,No,Low
sector 30,flat,2.0,2.0,734.0,No,No,Low
sector 65,flat,4.0,4.0,2194.0,Yes,Yes,Medium
sector 93,flat,2.0,2.0,603.0,No,No,Low
sector 17,house,2.0,6.0,1449.0,No,Yes,Medium
sector 92,flat,3.0,2.0,1300.0,No,No,Low
sector 91,house,4.0,4.0,2430.0,No,No,Low
sector 67,flat,3.0,4.0,2219.0,Yes,No,Medium
sector 70,flat,3.0,5.0,1950.0,No,No,Low
sector 82,flat,3.0,3.0,1955.0,Yes,Yes,Medium
sector 33,flat,4.0,4.0,4809.0,Yes,No,Medium
sector 7,house,4.0,5.0,330.0,No,No,Low
sector 71,flat,2.0,2.0,557.0,No,No,Medium
sector 108,flat,4.0,5.0,2779.0,Yes,No,Medium
sector 53,flat,4.0,4.0,2477.0,No,No,Low
sector 54,flat,3.0,3.0,1700.0,No,No,Medium
sector 104,flat,2.0,2.0,1269.0,No,Yes,Medium
sector 109,flat,3.0,3.0,1466.0,No,No,Low
sector 2,flat,2.0,3.0,1444.0,No,Yes,Low
sector 104,flat,3.0,3.0,2217.0,Yes,No,Medium
sector 67,flat,3.0,4.0,2490.0,Yes,No,Medium
sector 22,flat,2.0,2.0,1285.0,Yes,Yes,Low
sector 69,flat,4.0,4.0,1819.0,No,No,High
sector 3,house,1.0,1.0,480.0,No,No,Low
sector 83,flat,3.0,3.0,1489.0,No,No,Low
sector 10a,flat,3.0,3.0,1833.0,No,No,Low
sector 2,house,4.0,4.0,1557.0,No,No,Low
dlf phase,flat,4.0,4.0,2570.0,Yes,No,Medium
sector 84,flat,1.0,1.0,500.0,No,No,Low
sector 83,flat,2.0,2.0,1100.0,No,No,Medium
sheetla colony,house,2.0,2.0,909.0,No,No,Low
sector 82,flat,3.0,5.0,2000.0,Yes,No,Medium
sector 69,flat,3.0,3.0,1640.0,No,No,Low
sector 7,house,4.0,5.0,3600.0,Yes,Yes,Low
sector 61,flat,3.0,3.0,1595.0,Yes,No,High
sector 68,flat,2.0,2.0,1460.0,No,No,Low
sector 28,house,2.0,4.0,360.0,No,No,Low
sector 110,flat,4.0,5.0,3077.0,Yes,No,High
sector 67,flat,3.0,3.0,2047.01,No,No,Low
sohna road,flat,1.0,1.0,360.0,No,No,Medium
sector 92,flat,3.0,4.0,1805.0,Yes,No,Medium
sector 2,house,3.0,3.0,1557.0,No,No,Low
sohna road,flat,2.0,2.0,590.0,No,No,Low
sohna road,flat,2.0,2.0,900.0,No,No,Low
sector 106,house,5.0,4.0,4000.0,Yes,Yes,High
gwal pahari,flat,4.0,4.0,5350.0,No,No,Medium
sector 22,house,6.0,6.0,2368.1,No,No,Medium
sector 79,flat,2.0,2.0,1411.0,No,Yes,High
sector 48,flat,4.0,5.0,4422.0,Yes,No,Low
sector 6,house,3.0,2.0,612.0,No,No,Low
sector 113,flat,4.0,4.0,2553.0,Yes,No,Medium
sector 102,flat,2.0,2.0,741.0,No,No,High
sector 37c,flat,2.0,2.0,850.0,No,No,High
sector 9a,flat,4.0,3.0,2007.0,Yes,No,Low
sector 65,flat,3.0,3.0,1650.06,Yes,Yes,Low
sector 67a,flat,3.0,3.0,1346.0,No,No,Medium
sector 95,flat,2.0,2.0,571.0,No,No,Low
sector 99a,flat,2.0,2.0,583.0,No,No,Medium
sector 33,flat,2.0,2.0,1539.0,No,No,Medium
sector 99a,flat,2.0,2.0,1133.0,No,No,Medium
sector 71,flat,3.0,4.0,1577.0,Yes,Yes,Medium
sector 69,flat,3.0,3.0,1392.0,No,No,Medium
sector 89,flat,3.0,3.0,1423.0,No,Yes,Low
sector 107,flat,2.0,2.0,1201.0,No,No,High
sector 85,flat,2.0,2.0,97.0,No,No,Low
sector 104,flat,2.0,2.0,1403.0,No,No,Low
sector 37d,flat,3.0,3.0,1686.0,No,No,Low
sector 39,flat,4.0,3.0,2611.0,Yes,No,Low
sector 38,house,2.0,8.0,62.0,No,No,Low
sushant lok,house,3.0,3.0,2160.0,Yes,No,Low
sector 69,flat,3.0,3.0,1455.0,No,No,Medium
sector 95,flat,2.0,2.0,610.0,No,No,Medium
sector 54,flat,3.0,4.0,1875.0,Yes,No,Low
sector 17,house,2.0,5.0,1440.0,No,No,Low
sector 79,flat,3.0,4.0,2050.0,No,No,Low
sector 14,house,5.0,5.0,3420.0,Yes,Yes,Low
sector 67a,flat,3.0,3.0,1346.0,No,No,Low
sector 85,flat,2.0,2.0,1484.0,No,No,Low
sector 61,flat,3.0,3.0,1811.0,No,No,Low
sector 102,flat,3.0,3.0,2351.0,Yes,Yes,High
sector 88a,flat,3.0,3.0,1306.0,No,No,Medium
sector 69,flat,2.0,3.0,1222.0,No,No,High
sector 60,flat,4.0,4.0,2650.0,Yes,No,Low
sector 62,flat,2.0,2.0,1200.0,No,Yes,High
sector 102,flat,2.0,2.0,1238.0,No,No,Low
sector 90,flat,3.0,4.0,1679.0,Yes,No,Medium
sector 110,flat,3.0,3.0,1550.0,No,No,Medium
sector 50,flat,3.0,3.0,1790.0,No,No,High
sector 106,flat,3.0,4.0,1186.0,Yes,No,High
sector 33,house,6.0,6.0,4914.0,No,No,Low
sector 81,flat,2.0,2.0,1194.0,No,No,Low
sector 113,flat,2.0,2.0,1424.0,No,Yes,Medium
sector 36a,flat,2.0,2.0,1338.0,No,No,Low
sector 109,flat,3.0,4.0,1860.0,Yes,No,High
sector 37d,flat,3.0,3.0,1990.0,No,No,Medium
sector 85,flat,3.0,4.0,2227.0,Yes,No,High
sector 37c,flat,3.0,4.0,1665.0,No,No,Medium
sohna road,flat,3.0,3.0,1509.0,No,No,Low
sector 104,flat,3.0,2.0,1303.0,No,Yes,Low
sector 81,flat,3.0,4.0,1900.0,Yes,No,High
sector 4,house,1.0,1.0,450.0,No,No,Low
sector 37d,flat,2.0,2.0,860.0,No,No,Low
sector 50,house,3.0,2.0,2160.0,No,No,Low
sector 54,flat,3.0,3.0,1991.0,Yes,No,Medium
sector 2,house,4.0,4.0,2430.0,Yes,No,Low
sector 69,flat,3.0,3.0,1578.0,No,No,Medium
sector 92,flat,3.0,2.0,1261.0,No,No,Low
sector 67,flat,3.0,4.0,2123.0,Yes,No,Medium
sector 6,house,3.0,3.0,600.0,No,No,Low
sector 54,house,4.0,4.0,9000.0,Yes,Yes,Low
sector 104,flat,2.0,3.0,1538.0,Yes,No,Low
gwal pahari,flat,3.0,3.0,1294.0,No,No,High
sector 74,flat,2.0,2.0,1289.0,No,No,High
sector 67,house,4.0,5.0,2259.0,No,Yes,Medium
sector 2,flat,2.0,2.0,800.0,No,No,Low
sector 49,flat,3.0,3.0,1604.0,No,No,Medium
sector 3,house,4.0,2.0,1170.0,No,No,Low
sector 93,flat,2.0,2.0,603.0,No,No,Low
sector 67a,house,4.0,4.0,2700.0,No,No,Medium
sector 81,flat,2.0,2.0,985.0,No,No,Medium
sector 107,flat,2.0,2.0,543.0,No,No,Low
sector 79,flat,3.0,3.0,1212.0,No,Yes,High
sector 76,flat,3.0,3.0,1628.0,No,No,Medium
sector 36,flat,2.0,2.0,654.0,No,No,Low
sector 88a,flat,4.0,4.0,1745.0,Yes,Yes,Medium
sector 113,flat,2.0,2.0,1430.0,No,Yes,Medium
sector 90,flat,2.0,2.0,575.0,No,No,Low
sector 86,flat,2.0,3.0,944.0,No,Yes,Low
sector 103,flat,2.0,2.0,1361.0,No,No,Low
sector 67a,flat,2.0,2.0,657.0,No,No,Low
sector 69,flat,3.0,3.0,1419.0,No,No,High
sector 95,flat,2.0,2.0,632.0,No,No,Low
sushant lok,house,4.0,4.0,540.0,Yes,Yes,Medium
sohna road,flat,3.0,2.0,978.0,No,No,Medium
sector 37d,flat,2.0,2.0,625.0,No,No,Low
sohna road road,flat,2.0,2.0,1361.0,No,No,Low
sector 62,flat,2.0,2.0,1365.0,Yes,No,Medium
dlf phase,flat,5.0,5.0,5778.0,Yes,Yes,Low
sector 89,flat,2.0,2.0,1226.0,No,No,Medium
sector 108,flat,3.0,4.0,1500.0,Yes,No,Medium
sector 72,flat,3.0,3.0,1787.0,Yes,No,Low
dlf phase,flat,3.0,3.0,1240.0,No,No,Medium
sector 65,flat,2.0,2.0,1592.0,No,No,Low
sector 49,flat,3.0,3.0,1633.0,No,No,Low
sector 90,flat,2.0,2.0,1222.0,No,Yes,High
sector 70,flat,3.0,5.0,1527.0,Yes,No,Low
sector 102,flat,2.0,2.0,1073.0,No,No,Low
sector 90,flat,3.0,3.0,1630.0,No,No,Medium
sector 109,flat,3.0,4.0,1797.0,Yes,No,High
sector 49,flat,4.0,4.0,2157.0,Yes,No,Medium
sector 91,flat,3.0,3.0,1700.0,No,No,Medium
sector 37d,flat,4.0,3.0,2025.0,Yes,Yes,Low
sector 85,flat,2.0,2.0,1700.0,No,Yes,High
mehrauli gurgaon,flat,4.0,4.0,3250.0,No,No,Low
dlf phase,flat,3.0,3.0,2450.0,Yes,No,Medium
sector 84,flat,2.0,2.0,549.0,No,No,Low
sector 61,flat,3.0,3.0,1778.0,No,No,Low
sohna road,flat,3.0,3.0,1599.0,No,No,Medium
sector 72,flat,3.0,3.0,1975.0,No,No,Low
sector 2,house,6.0,6.0,3611.0,No,No,Low
sector 107,flat,3.0,3.0,1547.0,No,No,Medium
sector 60,flat,3.0,3.0,2300.0,Yes,No,High
dlf phase,house,5.0,5.0,1800.0,Yes,Yes,Medium
c block,house,4.0,4.0,1935.0,Yes,No,Low
sector 86,flat,3.0,3.0,1780.0,Yes,No,High
sector 92,flat,3.0,3.0,1571.0,No,No,Low
sector 99,flat,2.0,2.0,1235.0,No,No,Medium
sector 50,house,4.0,5.0,4000.0,Yes,Yes,Medium
sector 26,house,4.0,4.0,3771.0,No,No,Low
sector 79,flat,2.0,2.0,1330.0,No,Yes,Medium
sector 73,flat,2.0,2.0,1444.0,No,No,Low
sohna road,flat,2.0,2.0,582.0,No,No,Low
sector 103,flat,2.0,3.0,1257.0,Yes,No,Medium
sector 71,flat,2.0,2.0,600.0,No,No,Low
sector 67a,flat,2.0,2.0,778.0,No,No,Low
sector 103,house,4.0,3.0,4000.0,No,No,Medium
sector 7,house,3.0,2.0,1000.0,No,No,Low
sector 108,flat,4.0,5.0,2515.0,No,No,Medium
sector 2,flat,1.0,1.0,665.0,No,No,Medium
sector 85,flat,3.0,4.0,1616.0,Yes,No,Low
sector 83,flat,3.0,3.0,1549.0,Yes,No,Medium
sector 79,flat,3.0,4.0,1659.0,Yes,No,Low
sector 37c,flat,2.0,2.0,1180.0,No,Yes,Medium
sector 112,flat,2.0,2.0,2441.09,No,No,High
sector 1a,flat,3.0,2.0,1696.0,No,No,Low
sector 22,flat,3.0,4.0,2517.0,No,No,Low
sector 111,flat,4.0,5.0,2670.0,Yes,No,Medium
sector 89,flat,2.0,2.0,1226.0,No,Yes,Low
sector 37d,flat,3.0,3.0,1185.0,No,No,Low
sector 99a,flat,2.0,2.0,552.0,No,No,Low
sector 70a,flat,3.0,3.0,1723.0,No,No,High
sector 92,flat,3.0,3.0,1596.0,No,No,Low
sector 103,flat,4.0,5.0,2416.0,Yes,No,Low
sector 113,flat,3.0,4.0,2150.0,Yes,No,High
sector 48,flat,3.0,3.0,1600.0,No,No,Medium
sector 1a,flat,3.0,3.0,1526.0,No,No,Low
sector 104,flat,4.0,4.0,2898.0,Yes,No,Low
sector 33,flat,3.0,4.0,1398.0,Yes,No,Low
sector 95,flat,2.0,2.0,610.0,No,No,Low
sohna road,flat,3.0,2.0,1201.0,No,No,Medium
sector 36,house,3.0,1.0,1081.0,No,No,Low
sector 107,flat,2.0,2.0,1236.0,No,No,Medium
sector 109,flat,3.0,3.0,1550.0,No,No,Low
sector 69,flat,4.0,4.0,1819.0,No,No,Medium
sector 90,flat,3.0,3.0,1562.0,No,No,Medium
sector 102,flat,2.0,2.0,1286.0,No,No,Medium
sector 2,house,6.0,5.0,2430.0,Yes,No,Medium
sector 113,flat,4.0,4.0,2060.0,No,Yes,Medium
sector 53,flat,3.0,4.0,2661.0,Yes,No,Low
sector 81,flat,2.0,2.0,1397.0,No,No,Low
sector 109,house,5.0,5.0,3600.0,Yes,Yes,High
sector 49,house,2.0,6.0,1467.0,No,No,Low
sector 99,flat,4.0,4.0,2835.0,No,No,Medium
sector 81,flat,3.0,3.0,1650.0,Yes,Yes,Low
sector 56,flat,3.0,3.0,2200.0,No,Yes,Low
sector 37d,flat,2.0,2.0,543.0,No,No,Medium
sector 69,flat,4.0,4.0,1819.0,No,No,Low
sector 85,flat,2.0,2.0,1600.0,No,No,High
sector 69,flat,3.0,3.0,1568.0,No,No,Medium
sector 82a,flat,4.0,4.0,2273.12,No,No,Low
sector 107,flat,2.0,2.0,543.0,No,No,Low
sector 81,flat,4.0,4.0,2491.0,Yes,No,Low
sector 95,flat,1.0,1.0,407.0,No,No,Medium
sector 79,flat,3.0,3.0,1815.0,No,No,Low
sector 85,flat,2.0,2.0,1250.0,No,No,High
sector 70,flat,3.0,3.0,1527.0,Yes,No,Medium
sector 113,flat,4.0,4.0,2886.0,Yes,Yes,Medium
sector 89,flat,2.0,2.0,1105.0,No,No,Low
sector 110,flat,4.0,5.0,3077.0,Yes,No,Medium
sector 65,flat,2.0,2.0,1482.0,No,Yes,Low
sector 12,flat,2.0,2.0,1100.0,No,No,Low
sector 57,house,9.0,9.0,2660.0,Yes,No,Medium
sector 65,flat,3.0,3.0,1833.0,Yes,Yes,Low
sector 49,house,2.0,6.0,1467.0,No,Yes,Low
sector 61,flat,2.0,2.0,1278.0,No,Yes,Low
sector 3,flat,2.0,1.0,611.0,No,No,Low
sector 65,flat,3.0,3.0,2380.11,Yes,No,Low
sector 79,flat,3.0,4.0,1946.0,Yes,No,Low
sector 99,flat,2.0,3.0,1611.0,Yes,No,Low
sector 7,house,3.0,5.0,600.0,No,No,Low
sector 85,flat,4.0,4.0,2545.0,Yes,No,Low
sector 82,flat,3.0,3.0,1234.0,No,Yes,Medium
sector 61,flat,2.0,2.0,1333.0,No,Yes,Low
sector 102,flat,2.0,2.0,1100.0,No,No,Medium
sector 37d,flat,2.0,2.0,644.0,No,No,Medium
sector 23,house,3.0,2.0,3078.0,No,No,Low
sector 109,house,5.0,6.0,7000.0,Yes,Yes,High
dlf phase,house,5.0,6.0,3618.0,No,No,Medium
surat nagar,house,3.0,3.0,900.0,No,No,Low
sector 33,flat,2.0,2.0,1095.0,No,Yes,Low
sector 69,flat,3.0,3.0,1428.0,No,No,High
sector 11,house,3.0,2.0,128.0,No,No,Low
sector 2,house,1.0,1.0,900.0,No,No,Low
sector 65,flat,4.0,3.0,3150.0,Yes,No,Low
dlf phase,house,8.0,10.0,3915.0,No,No,Low
sector 70,flat,3.0,3.0,1527.0,Yes,Yes,Low
dlf phase,flat,4.0,4.0,2556.0,Yes,No,High
sector 28,flat,4.0,5.0,3406.0,Yes,No,Low
sector 102,flat,3.0,3.0,1653.0,No,No,High
sector 107,flat,2.0,2.0,1281.0,No,Yes,Medium
sector 106,flat,3.0,4.0,1593.0,Yes,Yes,Medium
sector 85,flat,3.0,4.0,1650.0,Yes,No,Low
sector 95,flat,2.0,2.0,660.0,No,No,Low
sector 70,flat,3.0,4.0,1950.0,Yes,No,Low
sector 65,flat,2.0,2.0,1186.0,No,No,Medium
sector 56,flat,3.0,3.0,1800.0,No,No,Medium
sector 102,flat,3.0,4.0,1605.0,Yes,No,Medium
sector 70,flat,3.0,4.0,1527.0,Yes,No,Low
sector 70a,house,2.0,3.0,1319.0,No,No,High
sector 102,flat,3.0,3.0,1531.0,No,No,Medium
sector 56,flat,3.0,4.0,1900.0,Yes,No,Medium
sector 86,flat,3.0,3.0,1550.0,No,No,High
